Date,Week,Month,Year,Region,Diesel Price
01/07/2013,1,1,2013,US,3.911
01/07/2013,1,1,2013,East Coast,4.006
01/07/2013,1,1,2013,New England,4.153
01/07/2013,1,1,2013,Central Atlantic,4.107
01/07/2013,1,1,2013,Lower Atlantic,3.902
01/07/2013,1,1,2013,Midwest,3.870
01/07/2013,1,1,2013,Gulf Coast,3.837
01/07/2013,1,1,2013,Rocky Mountains,3.688
01/07/2013,1,1,2013,West Coast,3.988
01/07/2013,1,1,2013,California,4.048
01/07/2013,1,1,2013,West Coast exc California,3.918
01/14/2013,2,1,2013,US,3.894
01/14/2013,2,1,2013,East Coast,4.002
01/14/2013,2,1,2013,New England,4.168
01/14/2013,2,1,2013,Central Atlantic,4.094
01/14/2013,2,1,2013,Lower Atlantic,3.901
01/14/2013,2,1,2013,Midwest,3.834
01/14/2013,2,1,2013,Gulf Coast,3.824
01/14/2013,2,1,2013,Rocky Mountains,3.661
01/14/2013,2,1,2013,West Coast,3.988
01/14/2013,2,1,2013,California,4.063
01/14/2013,2,1,2013,West Coast exc California,3.900
01/21/2013,3,1,2013,US,3.902
01/21/2013,3,1,2013,East Coast,4.000
01/21/2013,3,1,2013,New England,4.158
01/21/2013,3,1,2013,Central Atlantic,4.089
01/21/2013,3,1,2013,Lower Atlantic,3.904
01/21/2013,3,1,2013,Midwest,3.845
01/21/2013,3,1,2013,Gulf Coast,3.831
01/21/2013,3,1,2013,Rocky Mountains,3.678
01/21/2013,3,1,2013,West Coast,4.004
01/21/2013,3,1,2013,California,4.082
01/21/2013,3,1,2013,West Coast exc California,3.911
01/28/2013,4,1,2013,US,3.927
01/28/2013,4,1,2013,East Coast,4.023
01/28/2013,4,1,2013,New England,4.181
01/28/2013,4,1,2013,Central Atlantic,4.106
01/28/2013,4,1,2013,Lower Atlantic,3.931
01/28/2013,4,1,2013,Midwest,3.866
01/28/2013,4,1,2013,Gulf Coast,3.845
01/28/2013,4,1,2013,Rocky Mountains,3.736
01/28/2013,4,1,2013,West Coast,4.049
01/28/2013,4,1,2013,California,4.137
01/28/2013,4,1,2013,West Coast exc California,3.946
02/04/2013,5,2,2013,US,4.022
02/04/2013,5,2,2013,East Coast,4.088
02/04/2013,5,2,2013,New England,4.237
02/04/2013,5,2,2013,Central Atlantic,4.165
02/04/2013,5,2,2013,Lower Atlantic,4.001
02/04/2013,5,2,2013,Midwest,3.978
02/04/2013,5,2,2013,Gulf Coast,3.941
02/04/2013,5,2,2013,Rocky Mountains,3.844
02/04/2013,5,2,2013,West Coast,4.166
02/04/2013,5,2,2013,California,4.242
02/04/2013,5,2,2013,West Coast exc California,4.076
02/11/2013,6,2,2013,US,4.104
02/11/2013,6,2,2013,East Coast,4.152
02/11/2013,6,2,2013,New England,4.266
02/11/2013,6,2,2013,Central Atlantic,4.216
02/11/2013,6,2,2013,Lower Atlantic,4.083
02/11/2013,6,2,2013,Midwest,4.080
02/11/2013,6,2,2013,Gulf Coast,3.997
02/11/2013,6,2,2013,Rocky Mountains,3.964
02/11/2013,6,2,2013,West Coast,4.265
02/11/2013,6,2,2013,California,4.331
02/11/2013,6,2,2013,West Coast exc California,4.187
02/18/2013,7,2,2013,US,4.157
02/18/2013,7,2,2013,East Coast,4.199
02/18/2013,7,2,2013,New England,4.334
02/18/2013,7,2,2013,Central Atlantic,4.254
02/18/2013,7,2,2013,Lower Atlantic,4.133
02/18/2013,7,2,2013,Midwest,4.132
02/18/2013,7,2,2013,Gulf Coast,4.068
02/18/2013,7,2,2013,Rocky Mountains,4.032
02/18/2013,7,2,2013,West Coast,4.303
02/18/2013,7,2,2013,California,4.361
02/18/2013,7,2,2013,West Coast exc California,4.236
02/25/2013,8,2,2013,US,4.159
02/25/2013,8,2,2013,East Coast,4.201
02/25/2013,8,2,2013,New England,4.344
02/25/2013,8,2,2013,Central Atlantic,4.262
02/25/2013,8,2,2013,Lower Atlantic,4.129
02/25/2013,8,2,2013,Midwest,4.121
02/25/2013,8,2,2013,Gulf Coast,4.089
