node,carbon_intensity,unit,year
WV,883,kg/MWh,2022
KY,786,kg/MWh,2022
WY,768,kg/MWh,2022
MO,706,kg/MWh,2022
IN,698,kg/MWh,2022
UT,653,kg/MWh,2022
ND,607,kg/MWh,2022
HI,604,kg/MWh,2022
NE,517,kg/MWh,2022
OH,510,kg/MWh,2022
WI,500,kg/MWh,2022
CO,495,kg/MWh,2022
MI,475,kg/MWh,2022
MT,472,kg/MWh,2022
AR,468,kg/MWh,2022
NM,436,kg/MWh,2022
AK,408,kg/MWh,2022
DE,403,kg/MWh,2022
MS,395,kg/MWh,2022
LA,384,kg/MWh,2022
RI,377,kg/MWh,2022
KS,377,kg/MWh,2022
FL,367,kg/MWh,2022
TX,363,kg/MWh,2022
MA,347,kg/MWh,2022
MN,345,kg/MWh,2022
AL,345,kg/MWh,2022
GA,319,kg/MWh,2022
PA,310,kg/MWh,2022
OK,304,kg/MWh,2022
NV,303,kg/MWh,2022
TN,302,kg/MWh,2022
AZ,302,kg/MWh,2022
NC,293,kg/MWh,2022
IA,288,kg/MWh,2022
MD,280,kg/MWh,2022
IL,278,kg/MWh,2022
VA,269,kg/MWh,2022
SC,239,kg/MWh,2022
CT,230,kg/MWh,2022
NY,216,kg/MWh,2022
NJ,211,kg/MWh,2022
CA,169,kg/MWh,2022
ME,160,kg/MWh,2022
NH,133,kg/MWh,2022
SD,128,kg/MWh,2022
OR,117,kg/MWh,2022
ID,108,kg/MWh,2022
WA,84,kg/MWh,2022
VT,0,kg/MWh,2022
