Name,price electricity [ct./kWh],Year
Alabama,9.02,2013
Alabama,9.27,2014
Alabama,9.33,2015
Alabama,9.56,2016
Alabama,9.83,2017
Alabama,9.63,2018
Alabama,9.83,2019
Alabama,9.84,2020
Alabama,10.18,2021
Alaska,16.5,2013
Alaska,17.46,2014
Alaska,17.59,2015
Alaska,17.93,2016
Alaska,19.1,2017
Alaska,19.36,2018
Alaska,20.22,2019
Alaska,19.82,2020
Alaska,20.02,2021
Arizona,10.1,2013
Arizona,10.18,2014
Arizona,10.34,2015
Arizona,10.33,2016
Arizona,10.64,2017
Arizona,10.85,2018
Arizona,10.52,2019
Arizona,10.44,2020
Arizona,10.73,2021
Arkansas,7.93,2013
Arkansas,7.9,2014
Arkansas,8.19,2015
Arkansas,8.13,2016
Arkansas,8.26,2017
Arkansas,7.78,2018
Arkansas,8.22,2019
Arkansas,8.32,2020
Arkansas,9.1,2021
California,14.3,2013
California,15.15,2014
California,15.42,2015
California,15.23,2016
California,16.06,2017
California,16.58,2018
California,16.89,2019
California,18,2020
California,19.65,2021
Colorado,9.88,2013
Colorado,10.06,2014
Colorado,9.94,2015
Colorado,9.83,2016
Colorado,9.99,2017
Colorado,10.02,2018
Colorado,10.17,2019
Colorado,10.27,2020
Colorado,10.9,2021
Connecticut,15.7,2013
Connecticut,17.05,2014
Connecticut,17.77,2015
Connecticut,17.24,2016
Connecticut,17.55,2017
Connecticut,18.41,2018
Connecticut,18.66,2019
Connecticut,19.13,2020
Connecticut,18.32,2021
Delaware,10.9,2013
Delaware,11.22,2014
Delaware,11.17,2015
Delaware,11.09,2016
Delaware,10.91,2017
Delaware,10.55,2018
Delaware,10.52,2019
Delaware,10.24,2020
Delaware,10.5,2021
District of Columbia,11.9,2013
District of Columbia,12.11,2014
District of Columbia,12.07,2015
District of Columbia,11.73,2016
District of Columbia,11.8,2017
District of Columbia,12.03,2018
District of Columbia,12.27,2019
District of Columbia,11.9,2020
District of Columbia,12.81,2021
Florida,10.2,2013
Florida,10.77,2014
Florida,10.49,2015
Florida,9.91,2016
Florida,10.42,2017
Florida,10.32,2018
Florida,10.44,2019
Florida,10.06,2020
Florida,10.67,2021
Georgia,9.69,2013
Georgia,10.03,2014
Georgia,9.62,2015
Georgia,9.59,2016
Georgia,9.83,2017
Georgia,9.62,2018
Georgia,9.86,2019
Georgia,9.93,2020
Georgia,10.43,2021
Hawaii,33.3,2013
Hawaii,33.43,2014
Hawaii,26.17,2015
Hawaii,23.87,2016
Hawaii,26.05,2017
Hawaii,29.18,2018
Hawaii,28.72,2019
Hawaii,27.55,2020
Hawaii,30.31,2021
Idaho,7.57,2013
Idaho,7.93,2014
Idaho,8.09,2015
Idaho,8.08,2016
Idaho,8.26,2017
Idaho,8.17,2018
Idaho,7.89,2019
Idaho,7.99,2020
Idaho,8.17,2021
Illinois,8.3,2013
Illinois,9.36,2014
Illinois,9.4,2015
Illinois,9.38,2016
Illinois,9.49,2017
Illinois,9.6,2018
Illinois,9.56,2019
Illinois,9.75,2020
Illinois,10.14,2021
Indiana,8.73,2013
Indiana,9.06,2014
Indiana,8.99,2015
Indiana,9.22,2016
Indiana,9.77,2017
Indiana,9.75,2018
Indiana,9.91,2019
Indiana,9.92,2020
Indiana,10.36,2021
Iowa,8.07,2013
Iowa,8.15,2014
Iowa,8.35,2015
Iowa,8.55,2016
Iowa,8.73,2017
Iowa,8.92,2018
Iowa,9.08,2019
Iowa,8.97,2020
Iowa,9.13,2021
Kansas,9.72,2013
Kansas,10.16,2014
Kansas,10.14,2015
Kansas,10.49,2016
Kansas,10.6,2017
Kansas,10.72,2018
Kansas,10.26,2019
Kansas,10.38,2020
Kansas,10.47,2021
Kentucky,7.69,2013
Kentucky,8.15,2014
Kentucky,8.14,2015
Kentucky,8.42,2016
Kentucky,8.57,2017
Kentucky,8.52,2018
Kentucky,8.61,2019
Kentucky,8.58,2020
Kentucky,9.12,2021
Louisiana,8.04,2013
Louisiana,8.09,2014
Louisiana,7.65,2015
Louisiana,7.46,2016
Louisiana,7.79,2017
Louisiana,7.71,2018
Louisiana,7.71,2019
Louisiana,7.51,2020
Louisiana,8.82,2021
Maine,11.9,2013
Maine,12.65,2014
Maine,12.78,2015
Maine,12.8,2016
Maine,13.02,2017
Maine,13.44,2018
Maine,14.04,2019
Maine,13.54,2020
Maine,13.96,2021
Maryland,11.7,2013
Maryland,12.1,2014
Maryland,12.07,2015
Maryland,12.21,2016
Maryland,11.98,2017
Maryland,11.57,2018
