node,price_import
fips01003,0.079
fips01083,0.079
fips01097,0.079
fips04003,0.0881
fips04009,0.0881
fips04012,0.0881
fips04013,0.0881
fips04015,0.0881
fips04019,0.0881
fips04021,0.0881
fips04025,0.0881
fips04027,0.0881
fips05001,0.079
fips05003,0.079
fips05017,0.079
fips05021,0.079
fips05031,0.079
fips05035,0.079
fips05037,0.079
fips05041,0.079
fips05043,0.079
fips05055,0.079
fips05063,0.079
fips05067,0.079
fips05069,0.079
fips05073,0.079
fips05075,0.079
fips05077,0.079
fips05079,0.079
fips05081,0.079
fips05085,0.079
fips05093,0.079
fips05095,0.079
fips05107,0.079
fips05111,0.079
fips05117,0.079
fips05119,0.079
fips05121,0.079
fips05123,0.079
fips05145,0.079
fips05147,0.079
fips06001,0.1009
fips06005,0.1009
fips06007,0.1009
fips06009,0.1009
fips06011,0.1009
fips06013,0.1009
fips06015,0.1009
fips06017,0.1009
fips06019,0.1009
fips06021,0.1009
fips06023,0.1009
fips06025,0.1009
fips06027,0.1009
fips06029,0.1009
fips06031,0.1009
fips06033,0.1009
fips06035,0.1009
fips06037,0.1009
fips06039,0.1009
fips06041,0.1009
fips06043,0.1009
fips06045,0.1009
fips06047,0.1009
fips06049,0.1009
fips06051,0.1009
fips06053,0.1009
fips06055,0.1009
fips06057,0.1009
fips06061,0.1009
fips06063,0.1009
fips06065,0.1009
fips06067,0.1009
fips06069,0.1009
fips06071,0.1009
fips06073,0.1009
fips06077,0.1009
fips06079,0.1009
fips06081,0.1009
fips06083,0.1009
fips06087,0.1009
fips06089,0.1009
fips06091,0.1009
fips06093,0.1009
fips06095,0.1009
fips06097,0.1009
fips06099,0.1009
fips06101,0.1009
fips06103,0.1009
fips06105,0.1009
fips06107,0.1009
fips06111,0.1009
fips06113,0.1009
fips06115,0.1009
fips08001,0.0844
fips08003,0.0844
fips08007,0.0844
fips08009,0.0844
fips08011,0.0844
fips08013,0.0844
fips08015,0.0844
fips08017,0.0844
fips08021,0.0844
fips08023,0.0844
fips08025,0.0844
fips08027,0.0844
fips08029,0.0844
fips08037,0.0844
fips08039,0.0844
fips08043,0.0844
fips08045,0.0844
fips08049,0.0844
fips08051,0.0844
fips08053,0.0844
fips08055,0.0844
fips08057,0.0844
fips08059,0.0844
fips08063,0.0844
fips08065,0.0844
fips08067,0.0844
fips08069,0.0844
fips08071,0.0844
fips08075,0.0844
fips08077,0.0844
fips08081,0.0844
fips08083,0.0844
fips08085,0.0844
fips08087,0.0844
fips08089,0.0844
fips08091,0.0844
fips08093,0.0844
fips08095,0.0844
fips08097,0.0844
fips08099,0.0844
fips08101,0.0844
fips08103,0.0844
fips08105,0.0844
fips08107,0.0844
fips08109,0.0844
fips08113,0.0844
fips08115,0.0844
fips08117,0.0844
fips08121,0.0844
fips08123,0.0844
fips08125,0.0844
fips10001,0.0894
fips10005,0.0894
fips12001,0.0824
fips12009,0.0824
fips12011,0.0824
fips12015,0.0824
fips12021,0.0824
fips12027,0.0824
fips12035,0.0824
fips12041,0.0824
fips12043,0.0824
fips12047,0.0824
fips12049,0.0824
fips12051,0.0824
fips12055,0.0824
fips12057,0.0824
fips12061,0.0824
fips12063,0.0824
fips12069,0.0824
fips12071,0.0824
fips12075,0.0824
fips12079,0.0824
fips12081,0.0824
fips12083,0.0824
fips12085,0.0824
fips12086,0.0824
fips12093,0.0824
fips12095,0.0824
fips12097,0.0824
fips12099,0.0824
fips12101,0.0824
fips12105,0.0824
fips12107,0.0824
fips12109,0.0824
fips12111,0.0824
fips12121,0.0824
fips12127,0.0824
fips13007,0.0824
fips13027,0.0824
fips13033,0.0824
fips13037,0.0824
fips13069,0.0824
fips13071,0.0824
fips13081,0.0824
fips13087,0.0824
