node,price_import
fips01001,0.079
fips01003,0.079
fips01005,0.079
fips01007,0.079
fips01009,0.079
fips01011,0.079
fips01013,0.079
fips01015,0.079
fips01017,0.079
fips01019,0.079
fips01021,0.079
fips01023,0.079
fips01025,0.079
fips01027,0.079
fips01029,0.079
fips01031,0.079
fips01033,0.079
fips01035,0.079
fips01037,0.079
fips01039,0.079
fips01041,0.079
fips01043,0.079
fips01045,0.079
fips01047,0.079
fips01049,0.079
fips01051,0.079
fips01053,0.079
fips01055,0.079
fips01057,0.079
fips01059,0.079
fips01061,0.079
fips01063,0.079
fips01065,0.079
fips01067,0.079
fips01069,0.079
fips01071,0.079
fips01073,0.079
fips01075,0.079
fips01077,0.079
fips01079,0.079
fips01081,0.079
fips01083,0.079
fips01085,0.079
fips01087,0.079
fips01089,0.079
fips01091,0.079
fips01093,0.079
fips01095,0.079
fips01097,0.079
fips01099,0.079
fips01101,0.079
fips01103,0.079
fips01105,0.079
fips01107,0.079
fips01109,0.079
fips01111,0.079
fips01113,0.079
fips01115,0.079
fips01117,0.079
fips01119,0.079
fips01121,0.079
fips01123,0.079
fips01125,0.079
fips01127,0.079
fips01129,0.079
fips01131,0.079
fips01133,0.079
fips02013,0.0881
fips02016,0.0881
fips02020,0.0881
fips02050,0.0881
fips02060,0.0881
fips02063,0.0881
fips02066,0.0881
fips02068,0.0881
fips02070,0.0881
fips02090,0.0881
fips02100,0.0881
fips02105,0.0881
fips02110,0.0881
fips02122,0.0881
fips02130,0.0881
fips02150,0.0881
fips02158,0.0881
fips02164,0.0881
fips02170,0.0881
fips02180,0.0881
fips02185,0.0881
fips02188,0.0881
fips02195,0.0881
fips02198,0.0881
fips02220,0.0881
fips02230,0.0881
fips02240,0.0881
fips02275,0.0881
fips02282,0.0881
fips02290,0.0881
fips04001,0.0881
fips04003,0.0881
fips04005,0.0881
fips04007,0.0881
fips04009,0.0881
fips04011,0.0881
fips04012,0.0881
fips04013,0.0881
fips04015,0.0881
fips04017,0.0881
fips04019,0.0881
fips04021,0.0881
fips04023,0.0881
fips04025,0.0881
fips04027,0.0881
fips05001,0.079
fips05003,0.079
fips05005,0.079
