node,price_import
fips01003,0.1058
fips01083,0.1058
fips01097,0.1058
fips04003,0.1208
fips04009,0.1208
fips04012,0.1208
fips04013,0.1208
fips04015,0.1208
fips04019,0.1208
fips04021,0.1208
fips04025,0.1208
fips04027,0.1208
fips05001,0.1058
fips05003,0.1058
fips05017,0.1058
fips05021,0.1058
fips05031,0.1058
fips05035,0.1058
fips05037,0.1058
fips05041,0.1058
fips05043,0.1058
fips05055,0.1058
fips05063,0.1058
fips05067,0.1058
fips05069,0.1058
fips05073,0.1058
fips05075,0.1058
fips05077,0.1058
fips05079,0.1058
fips05081,0.1058
fips05085,0.1058
fips05093,0.1058
fips05095,0.1058
fips05107,0.1058
fips05111,0.1058
fips05117,0.1058
fips05119,0.1058
fips05121,0.1058
fips05123,0.1058
fips05145,0.1058
fips05147,0.1058
fips06001,0.1406
fips06005,0.1406
fips06007,0.1406
fips06009,0.1406
fips06011,0.1406
fips06013,0.1406
fips06015,0.1406
fips06017,0.1406
fips06019,0.1406
fips06021,0.1406
fips06023,0.1406
fips06025,0.1406
fips06027,0.1406
fips06029,0.1406
fips06031,0.1406
fips06033,0.1406
fips06035,0.1406
fips06037,0.1406
fips06039,0.1406
fips06041,0.1406
fips06043,0.1406
fips06045,0.1406
fips06047,0.1406
fips06049,0.1406
fips06051,0.1406
fips06053,0.1406
fips06055,0.1406
fips06057,0.1406
fips06061,0.1406
fips06063,0.1406
fips06065,0.1406
fips06067,0.1406
fips06069,0.1406
fips06071,0.1406
fips06073,0.1406
fips06077,0.1406
fips06079,0.1406
fips06081,0.1406
fips06083,0.1406
fips06087,0.1406
fips06089,0.1406
fips06091,0.1406
fips06093,0.1406
fips06095,0.1406
fips06097,0.1406
fips06099,0.1406
fips06101,0.1406
fips06103,0.1406
fips06105,0.1406
fips06107,0.1406
fips06111,0.1406
fips06113,0.1406
fips06115,0.1406
fips08001,0.1151
fips08003,0.1151
fips08007,0.1151
fips08009,0.1151
fips08011,0.1151
fips08013,0.1151
fips08015,0.1151
fips08017,0.1151
fips08021,0.1151
fips08023,0.1151
fips08025,0.1151
fips08027,0.1151
fips08029,0.1151
fips08037,0.1151
fips08039,0.1151
fips08043,0.1151
fips08045,0.1151
fips08049,0.1151
fips08051,0.1151
fips08053,0.1151
fips08055,0.1151
fips08057,0.1151
fips08059,0.1151
fips08063,0.1151
