node,carbon_intensity_carrier_import
fips01003,344.73
fips01083,344.73
fips01097,344.73
fips04003,301.64
fips04009,301.64
fips04012,301.64
fips04013,301.64
fips04015,301.64
fips04019,301.64
fips04021,301.64
fips04025,301.64
fips04027,301.64
fips05001,468.11
fips05003,468.11
fips05017,468.11
fips05021,468.11
fips05031,468.11
fips05035,468.11
fips05037,468.11
fips05041,468.11
fips05043,468.11
fips05055,468.11
fips05063,468.11
fips05067,468.11
fips05069,468.11
fips05073,468.11
fips05075,468.11
fips05077,468.11
fips05079,468.11
fips05081,468.11
fips05085,468.11
fips05093,468.11
fips05095,468.11
fips05107,468.11
fips05111,468.11
fips05117,468.11
fips05119,468.11
fips05121,468.11
fips05123,468.11
fips05145,468.11
fips05147,468.11
fips06001,168.74
fips06005,168.74
fips06007,168.74
fips06009,168.74
fips06011,168.74
fips06013,168.74
fips06015,168.74
fips06017,168.74
fips06019,168.74
fips06021,168.74
fips06023,168.74
fips06025,168.74
fips06027,168.74
fips06029,168.74
fips06031,168.74
fips06033,168.74
fips06035,168.74
fips06037,168.74
fips06039,168.74
fips06041,168.74
fips06043,168.74
fips06045,168.74
fips06047,168.74
fips06049,168.74
fips06051,168.74
fips06053,168.74
fips06055,168.74
fips06057,168.74
fips06061,168.74
fips06063,168.74
fips06065,168.74
fips06067,168.74
fips06069,168.74
fips06071,168.74
fips06073,168.74
fips06077,168.74
fips06079,168.74
fips06081,168.74
fips06083,168.74
fips06087,168.74
fips06089,168.74
fips06091,168.74
fips06093,168.74
fips06095,168.74
fips06097,168.74
fips06099,168.74
fips06101,168.74
fips06103,168.74
fips06105,168.74
fips06107,168.74
fips06111,168.74
fips06113,168.74
fips06115,168.74
fips08001,494.87
fips08003,494.87
fips08007,494.87
fips08009,494.87
fips08011,494.87
fips08013,494.87
fips08015,494.87
fips08017,494.87
fips08021,494.87
fips08023,494.87
fips08025,494.87
fips08027,494.87
fips08029,494.87
fips08037,494.87
fips08039,494.87
fips08043,494.87
fips08045,494.87
fips08049,494.87
fips08051,494.87
fips08053,494.87
fips08055,494.87
fips08057,494.87
fips08059,494.87
fips08063,494.87
fips08065,494.87
fips08067,494.87
fips08069,494.87
fips08071,494.87
fips08075,494.87
fips08077,494.87
fips08081,494.87
fips08083,494.87
fips08085,494.87
fips08087,494.87
fips08089,494.87
fips08091,494.87
fips08093,494.87
fips08095,494.87
fips08097,494.87
fips08099,494.87
fips08101,494.87
fips08103,494.87
fips08105,494.87
fips08107,494.87
fips08109,494.87
fips08113,494.87
fips08115,494.87
fips08117,494.87
fips08121,494.87
fips08123,494.87
fips08125,494.87
fips10001,403.24
fips10005,403.24
fips12001,367.41
fips12009,367.41
fips12011,367.41
fips12015,367.41
fips12021,367.41
fips12027,367.41
fips12035,367.41
fips12041,367.41
fips12043,367.41
fips12047,367.41
fips12049,367.41
fips12051,367.41
fips12055,367.41
fips12057,367.41
fips12061,367.41
fips12063,367.41
fips12069,367.41
fips12071,367.41
fips12075,367.41
fips12079,367.41
fips12081,367.41
fips12083,367.41
fips12085,367.41
fips12086,367.41
fips12093,367.41
fips12095,367.41
fips12097,367.41
fips12099,367.41
fips12101,367.41
fips12105,367.41
fips12107,367.41
fips12109,367.41
fips12111,367.41
fips12121,367.41
fips12127,367.41
fips13007,318.88
fips13027,318.88
fips13033,318.88
fips13037,318.88
fips13069,318.88
fips13071,318.88
fips13081,318.88
fips13087,318.88
fips13093,318.88
fips13095,318.88
fips13099,318.88
fips13155,318.88
fips13163,318.88
fips13177,318.88
fips13193,318.88
fips13201,318.88
fips13205,318.88
fips13235,318.88
fips13243,318.88
fips13251,318.88
fips13253,318.88
fips13261,318.88
fips13273,318.88
fips13277,318.88
fips13287,318.88
fips13315,318.88
fips13321,318.88
fips16001,107.5
fips16003,107.5
fips16005,107.5
fips16007,107.5
fips16011,107.5
fips16013,107.5
fips16019,107.5
fips16021,107.5
fips16023,107.5
fips16025,107.5
fips16027,107.5
fips16029,107.5
fips16031,107.5
fips16033,107.5
fips16035,107.5
fips16037,107.5
fips16039,107.5
fips16041,107.5
fips16043,107.5
fips16045,107.5
fips16047,107.5
fips16049,107.5
fips16051,107.5
fips16053,107.5
fips16055,107.5
fips16057,107.5
fips16059,107.5
fips16061,107.5
fips16063,107.5
fips16065,107.5
fips16067,107.5
fips16069,107.5
fips16071,107.5
fips16073,107.5
fips16075,107.5
fips16077,107.5
fips16081,107.5
fips16083,107.5
fips16085,107.5
fips16087,107.5
fips17017,278.05
fips17101,278.05
fips17125,278.05
fips17179,278.05
fips17193,278.05
fips17195,278.05
fips18073,697.62
fips18091,697.62
fips20009,377.39
fips20023,377.39
fips20027,377.39
fips20029,377.39
fips20039,377.39
fips20047,377.39
fips20055,377.39
fips20057,377.39
fips20063,377.39
fips20065,377.39
fips20067,377.39
fips20069,377.39
fips20071,377.39
fips20075,377.39
fips20079,377.39
fips20081,377.39
fips20083,377.39
fips20089,377.39
fips20093,377.39
fips20095,377.39
fips20097,377.39
fips20101,377.39
fips20113,377.39
fips20119,377.39
fips20123,377.39
fips20129,377.39
fips20137,377.39
fips20145,377.39
fips20147,377.39
fips20151,377.39
fips20153,377.39
fips20155,377.39
fips20157,377.39
fips20159,377.39
fips20165,377.39
fips20171,377.39
fips20173,377.39
fips20175,377.39
fips20179,377.39
fips20181,377.39
fips20185,377.39
fips20187,377.39
fips20189,377.39
fips20193,377.39
fips20199,377.39
fips20203,377.39
fips22001,383.74
fips22003,383.74
fips22009,383.74
fips22019,383.74
fips22023,383.74
fips22025,383.74
fips22029,383.74
fips22035,383.74
fips22039,383.74
fips22041,383.74
fips22053,383.74
fips22065,383.74
fips22067,383.74
fips22069,383.74
fips22073,383.74
fips22077,383.74
fips22079,383.74
fips22083,383.74
fips22097,383.74
fips22107,383.74
fips22113,383.74
fips22123,383.74
fips24011,280.32
fips24019,280.32
fips24035,280.32
fips25023,347.0
fips26005,475.36
fips26009,475.36
fips26021,475.36
fips26023,475.36
fips26027,475.36
fips26077,475.36
fips26107,475.36
fips26117,475.36
fips26149,475.36
fips26159,475.36
fips27037,345.18
fips27057,345.18
fips27097,345.18
fips27111,345.18
fips27121,345.18
fips27141,345.18
fips27145,345.18
fips27151,345.18
fips27159,345.18
fips28011,395.08
