node,price_import
fips01003,0.0912
fips01083,0.0912
fips01097,0.0912
fips04003,0.10132
fips04009,0.10132
fips04012,0.10132
fips04013,0.10132
fips04015,0.10132
fips04019,0.10132
fips04021,0.10132
fips04025,0.10132
fips04027,0.10132
fips05001,0.07828
fips05003,0.07828
fips05017,0.07828
fips05021,0.07828
fips05031,0.07828
fips05035,0.07828
fips05037,0.07828
fips05041,0.07828
fips05043,0.07828
fips05055,0.07828
fips05063,0.07828
fips05067,0.07828
fips05069,0.07828
fips05073,0.07828
fips05075,0.07828
fips05077,0.07828
fips05079,0.07828
fips05081,0.07828
fips05085,0.07828
fips05093,0.07828
fips05095,0.07828
fips05107,0.07828
fips05111,0.07828
fips05117,0.07828
fips05119,0.07828
fips05121,0.07828
fips05123,0.07828
fips05145,0.07828
fips05147,0.07828
fips06001,0.1464
fips06005,0.1464
fips06007,0.1464
fips06009,0.1464
fips06011,0.1464
fips06013,0.1464
fips06015,0.1464
fips06017,0.1464
fips06019,0.1464
fips06021,0.1464
fips06023,0.1464
fips06025,0.1464
fips06027,0.1464
fips06029,0.1464
fips06031,0.1464
fips06033,0.1464
fips06035,0.1464
fips06037,0.1464
fips06039,0.1464
fips06041,0.1464
fips06043,0.1464
fips06045,0.1464
fips06047,0.1464
fips06049,0.1464
fips06051,0.1464
fips06053,0.1464
fips06055,0.1464
fips06057,0.1464
fips06061,0.1464
fips06063,0.1464
fips06065,0.1464
fips06067,0.1464
fips06069,0.1464
fips06071,0.1464
fips06073,0.1464
fips06077,0.1464
fips06079,0.1464
fips06081,0.1464
fips06083,0.1464
fips06087,0.1464
fips06089,0.1464
fips06091,0.1464
fips06093,0.1464
fips06095,0.1464
fips06097,0.1464
fips06099,0.1464
fips06101,0.1464
fips06103,0.1464
fips06105,0.1464
fips06107,0.1464
fips06111,0.1464
fips06113,0.1464
fips06115,0.1464
fips08001,0.0985
fips08003,0.0985
fips08007,0.0985
fips08009,0.0985
fips08011,0.0985
fips08013,0.0985
fips08015,0.0985
fips08017,0.0985
fips08021,0.0985
fips08023,0.0985
fips08025,0.0985
fips08027,0.0985
fips08029,0.0985
fips08037,0.0985
fips08039,0.0985
fips08043,0.0985
fips08045,0.0985
fips08049,0.0985
fips08051,0.0985
fips08053,0.0985
fips08055,0.0985
fips08057,0.0985
fips08059,0.0985
fips08063,0.0985
fips08065,0.0985
fips08067,0.0985
fips08069,0.0985
fips08071,0.0985
fips08075,0.0985
fips08077,0.0985
fips08081,0.0985
fips08083,0.0985
