edge,node_from,node_to
fips01001-fips01101,fips01001,fips01101
fips01001-fips01085,fips01001,fips01085
fips01001-fips01047,fips01001,fips01047
fips01001-fips01051,fips01001,fips01051
fips01001-fips01021,fips01001,fips01021
fips01003-fips01025,fips01003,fips01025
fips01003-fips01099,fips01003,fips01099
fips01003-fips01097,fips01003,fips01097
fips01003-fips12033,fips01003,fips12033
fips01003-fips01129,fips01003,fips01129
fips01003-fips01053,fips01003,fips01053
fips01005-fips01011,fips01005,fips01011
fips01005-fips01113,fips01005,fips01113
fips01005-fips13259,fips01005,fips13259
fips01005-fips01109,fips01005,fips01109
fips01005-fips13061,fips01005,fips13061
fips01005-fips13239,fips01005,fips13239
fips01005-fips01067,fips01005,fips01067
fips01005-fips01045,fips01005,fips01045
fips01007-fips01105,fips01007,fips01105
fips01007-fips01065,fips01007,fips01065
fips01007-fips01021,fips01007,fips01021
fips01007-fips01117,fips01007,fips01117
fips01007-fips01125,fips01007,fips01125
fips01007-fips01073,fips01007,fips01073
fips01009-fips01073,fips01009,fips01073
fips01009-fips01043,fips01009,fips01043
fips01009-fips01055,fips01009,fips01055
fips01009-fips01127,fips01009,fips01127
fips01009-fips01115,fips01009,fips01115
fips01009-fips01095,fips01009,fips01095
fips01011-fips01087,fips01011,fips01087
fips01011-fips01101,fips01011,fips01101
fips01011-fips01113,fips01011,fips01113
fips01011-fips01005,fips01011,fips01005
fips01011-fips01109,fips01011,fips01109
fips01013-fips01099,fips01013,fips01099
fips01013-fips01039,fips01013,fips01039
fips01013-fips01041,fips01013,fips01041
fips01013-fips01131,fips01013,fips01131
fips01013-fips01085,fips01013,fips01085
fips01013-fips01035,fips01013,fips01035
fips01015-fips01121,fips01015,fips01121
fips01015-fips01115,fips01015,fips01115
fips01015-fips01019,fips01015,fips01019
fips01015-fips01055,fips01015,fips01055
fips01015-fips01029,fips01015,fips01029
fips01017-fips01111,fips01017,fips01111
fips01017-fips01081,fips01017,fips01081
fips01017-fips13145,fips01017,fips13145
fips01017-fips13285,fips01017,fips13285
fips01017-fips01123,fips01017,fips01123
fips01019-fips01029,fips01019,fips01029
fips01019-fips01015,fips01019,fips01015
fips01019-fips13115,fips01019,fips13115
fips01019-fips13233,fips01019,fips13233
fips01019-fips01055,fips01019,fips01055
fips01019-fips01049,fips01019,fips01049
fips01019-fips13055,fips01019,fips13055
fips01021-fips01001,fips01021,fips01001
fips01021-fips01007,fips01021,fips01007
fips01021-fips01117,fips01021,fips01117
fips01021-fips01105,fips01021,fips01105
fips01021-fips01051,fips01021,fips01051
fips01021-fips01037,fips01021,fips01037
fips01021-fips01047,fips01021,fips01047
fips01023-fips28075,fips01023,fips28075
fips01023-fips01119,fips01023,fips01119
fips01023-fips28153,fips01023,fips28153
fips01023-fips01025,fips01023,fips01025
fips01023-fips01129,fips01023,fips01129
fips01023-fips01091,fips01023,fips01091
fips01023-fips28023,fips01023,fips28023
fips01025-fips01023,fips01025,fips01023
