node,diesel,blue_water
fips01003,0.5556,1
fips01083,0.2149,1
fips01097,0.5991,1
fips04003,0.9385,1
fips04009,0.3516,1
fips04012,0.1212,1
fips04013,0.5719,1
fips04015,0.3325,1
fips04019,0.3432,1
fips04021,0.5109,1
fips04025,0.1846,1
fips04027,0.0948,1
fips05001,0.2914,1
fips05003,0.4339,1
fips05017,0.3739,1
fips05021,0.4712,1
fips05031,0.4139,1
fips05035,0.5267,1
fips05037,0.4561,1
fips05041,0.3794,1
fips05043,0.409,1
fips05055,0.4697,1
fips05063,0.3758,1
fips05067,0.4562,1
fips05069,0.4075,1
fips05073,0.519,1
fips05075,0.4383,1
fips05077,0.4857,1
fips05079,0.4305,1
fips05081,0.1846,1
fips05085,0.3377,1
fips05093,0.5477,1
fips05095,0.4391,1
fips05107,0.5158,1
fips05111,0.4426,1
fips05117,0.3267,1
fips05119,0.3615,1
fips05121,0.3597,1
fips05123,0.4829,1
fips05145,0.2774,1
fips05147,0.4655,1
fips06001,0.2541,1
fips06005,0.2465,1
fips06007,0.3771,1
fips06009,0.2507,1
fips06011,0.2974,1
fips06013,0.0902,1
fips06015,0.3203,1
fips06017,0.2703,1
fips06019,0.1982,1
fips06021,0.3307,1
fips06023,0.3225,1
fips06025,0.2312,1
fips06027,0.227,1
fips06029,0.3141,1
fips06031,0.2953,1
fips06033,0.2982,1
fips06035,0.2829,1
fips06037,0.3319,1
fips06039,0.3151,1
fips06041,0.2512,1
fips06043,0.227,1
fips06045,0.262,1
fips06047,0.237,1
fips06049,0.2971,1
fips06051,0.31,1
fips06053,0.2856,1
fips06055,0.2544,1
fips06057,0.2778,1
fips06061,0.2729,1
fips06063,0.2751,1
fips06065,0.2473,1
fips06067,0.2258,1
fips06069,0.2718,1
fips06071,0.309,1
fips06073,0.278,1
fips06077,0.2186,1
fips06079,0.2604,1
fips06081,0.3192,1
fips06083,0.2779,1
fips06087,0.2614,1
fips06089,0.2417,1
fips06091,0.2848,1
fips06093,0.3058,1
fips06095,0.2305,1
fips06097,0.2672,1
fips06099,0.2148,1
fips06101,0.2502,1
fips06103,0.2795,1
fips06105,0.3305,1
fips06107,0.2767,1
fips06111,0.2693,1
fips06113,0.1388,1
fips06115,0.2455,1
fips08001,0.0448,1
fips08003,0.1094,1
fips08007,0.0384,1
fips08009,0.187,1
fips08011,0.0406,1
fips08013,0.0383,1
fips08015,0.0383,1
fips08017,0.1784,1
fips08021,0.0527,1
fips08023,0.0852,1
fips08025,0.05,1
fips08027,0.0384,1
fips08029,0.0383,1
fips08037,0.0383,1
fips08039,0.0656,1
fips08043,0.0384,1
fips08045,0.0384,1
fips08049,0.0383,1
fips08051,0.0383,1
fips08053,0.0386,1
fips08055,0.0383,1
fips08057,0.0383,1
fips08059,0.0385,1
fips08063,0.1913,1
fips08065,0.0384,1
fips08067,0.0383,1
fips08069,0.0384,1
fips08071,0.0384,1
fips08075,0.1013,1
fips08077,0.0383,1
fips08081,0.0384,1
fips08083,0.0383,1
fips08085,0.0383,1
fips08087,0.0551,1
fips08089,0.0397,1
fips08091,0.0383,1
fips08093,0.0383,1
fips08095,0.2012,1
fips08097,0.0383,1
fips08099,0.0632,1
fips08101,0.04,1
fips08103,0.0383,1
fips08105,0.063,1
fips08107,0.0383,1
fips08109,0.0702,1
fips08113,0.0383,1
fips08115,0.1195,1
fips08117,0.0383,1
fips08121,0.1715,1
fips08123,0.0465,1
fips08125,0.2023,1
fips10001,0.5424,1
fips10005,0.5424,1
fips12001,0.5967,1
fips12009,0.4771,1
fips12011,0.224,1
fips12015,0.3179,1
fips12021,0.4404,1
fips12027,0.5007,1
fips12035,0.5117,1
fips12041,0.6084,1
fips12043,0.0753,1
fips12047,0.6012,1
fips12049,0.5093,1
fips12051,0.2005,1
fips12055,0.4406,1
fips12057,0.4976,1
fips12061,0.2977,1
fips12063,0.6066,1
fips12069,0.4989,1
fips12071,0.3462,1
fips12075,0.5964,1
fips12079,0.614,1
fips12081,0.508,1
fips12083,0.5799,1
fips12085,0.0896,1
fips12086,0.5609,1
fips12093,0.4369,1
fips12095,0.4986,1
fips12097,0.4449,1
fips12099,0.0634,1
fips12101,0.5388,1
fips12105,0.4795,1
fips12107,0.5182,1
fips12109,0.4847,1
fips12111,0.2185,1
fips12121,0.6083,1
fips12127,0.4808,1
fips13007,0.5809,1
fips13027,0.5939,1
fips13033,0.5429,1
fips13037,0.2648,1
fips13069,0.4077,1
fips13071,0.2791,1
fips13081,0.4942,1
fips13087,0.6065,1
fips13093,0.5504,1
fips13095,0.6039,1
fips13099,0.55,1
fips13155,0.3698,1
fips13163,0.566,1
fips13177,0.5465,1
fips13193,0.5041,1
fips13201,0.6107,1
fips13205,0.593,1
fips13235,0.4887,1
