node,diesel,blue_water
fips01003,1.8521,1
fips01083,0.7163,1
fips01097,1.9969,1
fips04003,3.1284,1
fips04009,1.1718,1
fips04012,0.4041,1
fips04013,1.9062,1
fips04015,1.1082,1
fips04019,1.144,1
fips04021,1.7031,1
fips04025,0.6152,1
fips04027,0.316,1
fips05001,0.9714,1
fips05003,1.4463,1
fips05017,1.2462,1
fips05021,1.5707,1
fips05031,1.3797,1
fips05035,1.7556,1
fips05037,1.5203,1
fips05041,1.2648,1
fips05043,1.3633,1
fips05055,1.5658,1
fips05063,1.2526,1
fips05067,1.5205,1
fips05069,1.3584,1
fips05073,1.73,1
fips05075,1.461,1
fips05077,1.6191,1
fips05079,1.4351,1
fips05081,0.6154,1
fips05085,1.1255,1
fips05093,1.8256,1
fips05095,1.4637,1
fips05107,1.7192,1
fips05111,1.4753,1
fips05117,1.0888,1
fips05119,1.2051,1
fips05121,1.199,1
fips05123,1.6096,1
fips05145,0.9246,1
fips05147,1.5517,1
fips06001,0.847,1
fips06005,0.8215,1
fips06007,1.2571,1
fips06009,0.8355,1
fips06011,0.9912,1
fips06013,0.3007,1
fips06015,1.0678,1
fips06017,0.9009,1
fips06019,0.6607,1
fips06021,1.1022,1
fips06023,1.075,1
fips06025,0.7706,1
fips06027,0.7566,1
fips06029,1.0471,1
fips06031,0.9842,1
fips06033,0.9939,1
fips06035,0.9431,1
fips06037,1.1064,1
fips06039,1.0503,1
fips06041,0.8373,1
fips06043,0.7566,1
fips06045,0.8734,1
fips06047,0.7899,1
fips06049,0.9903,1
fips06051,1.0335,1
fips06053,0.9519,1
fips06055,0.8481,1
fips06057,0.926,1
fips06061,0.9098,1
fips06063,0.917,1
fips06065,0.8245,1
fips06067,0.7526,1
fips06069,0.906,1
fips06071,1.0302,1
fips06073,0.9268,1
fips06077,0.7286,1
fips06079,0.8681,1
fips06081,1.0639,1
fips06083,0.9263,1
fips06087,0.8713,1
fips06089,0.8056,1
fips06091,0.9494,1
fips06093,1.0194,1
fips06095,0.7682,1
fips06097,0.8906,1
fips06099,0.716,1
fips06101,0.8338,1
fips06103,0.9315,1
fips06105,1.1015,1
fips06107,0.9224,1
fips06111,0.8976,1
fips06113,0.4628,1
fips06115,0.8185,1
fips08001,0.1493,1
fips08003,0.3646,1
fips08007,0.1281,1
fips08009,0.6232,1
fips08011,0.1353,1
fips08013,0.1278,1
fips08015,0.1278,1
fips08017,0.5946,1
fips08021,0.1758,1
fips08023,0.2842,1
fips08025,0.1666,1
fips08027,0.1279,1
fips08029,0.1278,1
fips08037,0.1278,1
fips08039,0.2188,1
fips08043,0.128,1
fips08045,0.1279,1
fips08049,0.1278,1
fips08051,0.1278,1
fips08053,0.1287,1
fips08055,0.1278,1
fips08057,0.1278,1
fips08059,0.1283,1
fips08063,0.6377,1
fips08065,0.128,1
fips08067,0.1278,1
fips08069,0.128,1
fips08071,0.1279,1
fips08075,0.3376,1
fips08077,0.1278,1
fips08081,0.1279,1
fips08083,0.1278,1
fips08085,0.1278,1
fips08087,0.1838,1
fips08089,0.1322,1
fips08091,0.1278,1
fips08093,0.1278,1
fips08095,0.6708,1
fips08097,0.1278,1
fips08099,0.2105,1
fips08101,0.1333,1
fips08103,0.1278,1
fips08105,0.21,1
fips08107,0.1278,1
fips08109,0.234,1
fips08113,0.1278,1
fips08115,0.3983,1
fips08117,0.1278,1
fips08121,0.5715,1
fips08123,0.1552,1
fips08125,0.6742,1
fips10001,1.8081,1
fips10005,1.8079,1
fips12001,1.9891,1
fips12009,1.5904,1
fips12011,0.7468,1
fips12015,1.0598,1
fips12021,1.4679,1
fips12027,1.669,1
fips12035,1.7057,1
fips12041,2.028,1
fips12043,0.251,1
fips12047,2.004,1
fips12049,1.6976,1
fips12051,0.6682,1
fips12055,1.4685,1
fips12057,1.6586,1
fips12061,0.9923,1
fips12063,2.0219,1
fips12069,1.6629,1
fips12071,1.154,1
fips12075,1.988,1
fips12079,2.0467,1
fips12081,1.6933,1
fips12083,1.9332,1
fips12085,0.2986,1
fips12086,1.8695,1
fips12093,1.4563,1
fips12095,1.6621,1
fips12097,1.483,1
fips12099,0.2114,1
fips12101,1.796,1
fips12105,1.5982,1
fips12107,1.7274,1
fips12109,1.6156,1
fips12111,0.7284,1
fips12121,2.0275,1
fips12127,1.6028,1
fips13007,1.9362,1
fips13027,1.9795,1
fips13033,1.8096,1
fips13037,0.8827,1
fips13069,1.3591,1
fips13071,0.9303,1
fips13081,1.6474,1
fips13087,2.0216,1
fips13093,1.8346,1
fips13095,2.013,1
fips13099,1.8332,1
fips13155,1.2328,1
fips13163,1.8865,1
fips13177,1.8217,1
fips13193,1.6804,1
fips13201,2.0356,1
fips13205,1.9768,1
fips13235,1.6291,1
fips13243,1.1383,1
fips13251,1.7754,1
fips13253,2.0446,1
fips13261,1.5731,1
fips13273,1.4673,1
fips13277,1.2204,1
fips13287,1.4357,1
fips13315,1.6208,1
fips13321,1.7179,1
fips16001,0.4272,1
fips16003,0.1658,1
fips16005,0.519,1
fips16007,0.1483,1
fips16011,1.1517,1
fips16013,0.8112,1
fips16019,0.6561,1
fips16021,0.7984,1
fips16023,1.1376,1
fips16025,1.2434,1
fips16027,0.5517,1
fips16029,0.4573,1
fips16031,1.2751,1
fips16033,0.8372,1
fips16035,0.4283,1
fips16037,0.3035,1
fips16039,0.6629,1
fips16041,0.2999,1
fips16043,0.4473,1
fips16045,0.2162,1
fips16047,0.622,1
fips16049,0.1677,1
fips16051,1.0735,1
fips16053,0.405,1
fips16055,0.7869,1
fips16057,1.2316,1
fips16059,0.167,1
fips16061,0.6004,1
fips16063,0.8618,1
fips16065,0.7346,1
fips16067,1.2963,1
fips16069,0.2677,1
fips16071,0.9873,1
fips16073,0.4264,1
fips16075,0.3054,1
fips16077,1.4269,1
fips16081,0.6228,1
fips16083,0.6084,1
fips16085,0.1471,1
fips16087,0.504,1
fips17017,2.0205,1
fips17101,2.0605,1
fips17125,2.0597,1
fips17179,2.0605,1
fips17193,2.0342,1
fips17195,2.0437,1
fips18073,0.6784,1
fips18091,1.0847,1
fips20009,2.7216,1
fips20023,2.7916,1
fips20027,2.0471,1
fips20029,2.6261,1
fips20039,2.7739,1
fips20047,2.7882,1
