node,diesel,blue_water
fips01003,0.926,1
fips01083,0.3582,1
fips01097,0.9984,1
fips04003,1.5642,1
fips04009,0.5859,1
fips04012,0.202,1
fips04013,0.9531,1
fips04015,0.5541,1
fips04019,0.572,1
fips04021,0.8516,1
fips04025,0.3076,1
fips04027,0.158,1
fips05001,0.4857,1
fips05003,0.7231,1
fips05017,0.6231,1
fips05021,0.7854,1
fips05031,0.6898,1
fips05035,0.8778,1
fips05037,0.7602,1
fips05041,0.6324,1
fips05043,0.6817,1
fips05055,0.7829,1
fips05063,0.6263,1
fips05067,0.7603,1
fips05069,0.6792,1
fips05073,0.865,1
fips05075,0.7305,1
fips05077,0.8095,1
fips05079,0.7175,1
fips05081,0.3077,1
fips05085,0.5628,1
fips05093,0.9128,1
fips05095,0.7318,1
fips05107,0.8596,1
fips05111,0.7377,1
fips05117,0.5444,1
fips05119,0.6025,1
fips05121,0.5995,1
fips05123,0.8048,1
fips05145,0.4623,1
fips05147,0.7759,1
fips06001,0.4235,1
fips06005,0.4108,1
fips06007,0.6286,1
fips06009,0.4178,1
fips06011,0.4956,1
fips06013,0.1503,1
fips06015,0.5339,1
fips06017,0.4504,1
fips06019,0.3304,1
fips06021,0.5511,1
fips06023,0.5375,1
fips06025,0.3853,1
fips06027,0.3783,1
fips06029,0.5235,1
fips06031,0.4921,1
fips06033,0.497,1
fips06035,0.4715,1
fips06037,0.5532,1
fips06039,0.5251,1
fips06041,0.4187,1
fips06043,0.3783,1
fips06045,0.4367,1
fips06047,0.3949,1
fips06049,0.4951,1
fips06051,0.5167,1
fips06053,0.476,1
fips06055,0.4241,1
fips06057,0.463,1
fips06061,0.4549,1
fips06063,0.4585,1
fips06065,0.4122,1
fips06067,0.3763,1
fips06069,0.453,1
fips06071,0.5151,1
fips06073,0.4634,1
fips06077,0.3643,1
fips06079,0.434,1
fips06081,0.5319,1
fips06083,0.4631,1
fips06087,0.4357,1
fips06089,0.4028,1
fips06091,0.4747,1
fips06093,0.5097,1
fips06095,0.3841,1
fips06097,0.4453,1
fips06099,0.358,1
fips06101,0.4169,1
fips06103,0.4658,1
fips06105,0.5508,1
fips06107,0.4612,1
fips06111,0.4488,1
fips06113,0.2314,1
fips06115,0.4092,1
fips08001,0.0746,1
fips08003,0.1823,1
fips08007,0.064,1
fips08009,0.3116,1
fips08011,0.0677,1
fips08013,0.0639,1
fips08015,0.0639,1
fips08017,0.2973,1
fips08021,0.0879,1
fips08023,0.1421,1
fips08025,0.0833,1
fips08027,0.064,1
fips08029,0.0639,1
fips08037,0.0639,1
fips08039,0.1094,1
fips08043,0.064,1
fips08045,0.064,1
fips08049,0.0639,1
fips08051,0.0639,1
