node,electricity,blue_water
fips01003,0.3704,1
fips01083,0.1433,1
fips01097,0.3994,1
fips04003,0.6257,1
fips04009,0.2344,1
fips04012,0.0808,1
fips04013,0.3812,1
fips04015,0.2216,1
fips04019,0.2288,1
fips04021,0.3406,1
fips04025,0.123,1
fips04027,0.0632,1
fips05001,0.1943,1
fips05003,0.2893,1
fips05017,0.2492,1
fips05021,0.3141,1
fips05031,0.2759,1
fips05035,0.3511,1
fips05037,0.3041,1
fips05041,0.253,1
fips05043,0.2727,1
fips05055,0.3132,1
fips05063,0.2505,1
fips05067,0.3041,1
fips05069,0.2717,1
fips05073,0.346,1
fips05075,0.2922,1
fips05077,0.3238,1
fips05079,0.287,1
fips05081,0.1231,1
fips05085,0.2251,1
fips05093,0.3651,1
fips05095,0.2927,1
fips05107,0.3438,1
fips05111,0.2951,1
fips05117,0.2178,1
fips05119,0.241,1
fips05121,0.2398,1
fips05123,0.3219,1
fips05145,0.1849,1
fips05147,0.3103,1
fips06001,0.1694,1
fips06005,0.1643,1
fips06007,0.2514,1
fips06009,0.1671,1
fips06011,0.1982,1
fips06013,0.0601,1
fips06015,0.2136,1
fips06017,0.1802,1
fips06019,0.1321,1
fips06021,0.2204,1
fips06023,0.215,1
fips06025,0.1541,1
fips06027,0.1513,1
fips06029,0.2094,1
fips06031,0.1968,1
fips06033,0.1988,1
fips06035,0.1886,1
fips06037,0.2213,1
fips06039,0.2101,1
fips06041,0.1675,1
fips06043,0.1513,1
fips06045,0.1747,1
fips06047,0.158,1
fips06049,0.1981,1
fips06051,0.2067,1
fips06053,0.1904,1
fips06055,0.1696,1
fips06057,0.1852,1
fips06061,0.182,1
fips06063,0.1834,1
fips06065,0.1649,1
fips06067,0.1505,1
fips06069,0.1812,1
fips06071,0.206,1
fips06073,0.1854,1
fips06077,0.1457,1
fips06079,0.1736,1
fips06081,0.2128,1
fips06083,0.1853,1
fips06087,0.1743,1
fips06089,0.1611,1
fips06091,0.1899,1
fips06093,0.2039,1
fips06095,0.1536,1
fips06097,0.1781,1
fips06099,0.1432,1
fips06101,0.1668,1
fips06103,0.1863,1
fips06105,0.2203,1
fips06107,0.1845,1
fips06111,0.1795,1
fips06113,0.0926,1
fips06115,0.1637,1
fips08001,0.0299,1
fips08003,0.0729,1
fips08007,0.0256,1
fips08009,0.1246,1
fips08011,0.0271,1
fips08013,0.0256,1
fips08015,0.0256,1
fips08017,0.1189,1
fips08021,0.0352,1
fips08023,0.0568,1
fips08025,0.0333,1
fips08027,0.0256,1
fips08029,0.0256,1
fips08037,0.0256,1
fips08039,0.0438,1
fips08043,0.0256,1
fips08045,0.0256,1
fips08049,0.0256,1
fips08051,0.0256,1
fips08053,0.0257,1
fips08055,0.0256,1
fips08057,0.0256,1
fips08059,0.0257,1
fips08063,0.1275,1
fips08065,0.0256,1
fips08067,0.0256,1
fips08069,0.0256,1
fips08071,0.0256,1
fips08075,0.0675,1
fips08077,0.0256,1
fips08081,0.0256,1
fips08083,0.0256,1
fips08085,0.0256,1
fips08087,0.0368,1
fips08089,0.0264,1
fips08091,0.0256,1
