node,electricity,blue_water
fips01003,0.3087,1
fips01083,0.1194,1
fips01097,0.3328,1
fips04003,0.5214,1
fips04009,0.1953,1
fips04012,0.0673,1
fips04013,0.3177,1
fips04015,0.1847,1
fips04019,0.1907,1
fips04021,0.2839,1
fips04025,0.1025,1
fips04027,0.0527,1
fips05001,0.1619,1
fips05003,0.241,1
fips05017,0.2077,1
fips05021,0.2618,1
fips05031,0.2299,1
fips05035,0.2926,1
fips05037,0.2534,1
fips05041,0.2108,1
fips05043,0.2272,1
fips05055,0.261,1
fips05063,0.2088,1
fips05067,0.2534,1
fips05069,0.2264,1
fips05073,0.2883,1
fips05075,0.2435,1
fips05077,0.2698,1
fips05079,0.2392,1
fips05081,0.1026,1
fips05085,0.1876,1
fips05093,0.3043,1
fips05095,0.2439,1
fips05107,0.2865,1
fips05111,0.2459,1
fips05117,0.1815,1
fips05119,0.2008,1
fips05121,0.1998,1
fips05123,0.2683,1
fips05145,0.1541,1
fips05147,0.2586,1
fips06001,0.1412,1
fips06005,0.1369,1
fips06007,0.2095,1
fips06009,0.1393,1
fips06011,0.1652,1
fips06013,0.0501,1
fips06015,0.178,1
fips06017,0.1501,1
fips06019,0.1101,1
fips06021,0.1837,1
fips06023,0.1792,1
fips06025,0.1284,1
fips06027,0.1261,1
fips06029,0.1745,1
fips06031,0.164,1
fips06033,0.1657,1
fips06035,0.1572,1
fips06037,0.1844,1
fips06039,0.175,1
fips06041,0.1396,1
fips06043,0.1261,1
fips06045,0.1456,1
fips06047,0.1316,1
fips06049,0.165,1
fips06051,0.1722,1
fips06053,0.1587,1
fips06055,0.1414,1
fips06057,0.1543,1
fips06061,0.1516,1
fips06063,0.1528,1
fips06065,0.1374,1
fips06067,0.1254,1
fips06069,0.151,1
fips06071,0.1717,1
fips06073,0.1545,1
fips06077,0.1214,1
fips06079,0.1447,1
fips06081,0.1773,1
fips06083,0.1544,1
fips06087,0.1452,1
fips06089,0.1343,1
fips06091,0.1582,1
fips06093,0.1699,1
fips06095,0.128,1
fips06097,0.1484,1
fips06099,0.1193,1
fips06101,0.139,1
fips06103,0.1553,1
fips06105,0.1836,1
fips06107,0.1537,1
fips06111,0.1496,1
fips06113,0.0771,1
fips06115,0.1364,1
fips08001,0.0249,1
fips08003,0.0608,1
fips08007,0.0213,1
fips08009,0.1039,1
fips08011,0.0226,1
fips08013,0.0213,1
fips08015,0.0213,1
fips08017,0.0991,1
fips08021,0.0293,1
fips08023,0.0474,1
fips08025,0.0278,1
fips08027,0.0213,1
fips08029,0.0213,1
fips08037,0.0213,1
fips08039,0.0365,1
fips08043,0.0213,1
fips08045,0.0213,1
fips08049,0.0213,1
fips08051,0.0213,1
fips08053,0.0214,1
fips08055,0.0213,1
fips08057,0.0213,1
fips08059,0.0214,1
fips08063,0.1063,1
fips08065,0.0213,1
fips08067,0.0213,1
fips08069,0.0213,1
fips08071,0.0213,1
fips08075,0.0563,1
fips08077,0.0213,1
fips08081,0.0213,1
fips08083,0.0213,1
fips08085,0.0213,1
fips08087,0.0306,1
fips08089,0.022,1
fips08091,0.0213,1
fips08093,0.0213,1
fips08095,0.1118,1
fips08097,0.0213,1
fips08099,0.0351,1
fips08101,0.0222,1
fips08103,0.0213,1
fips08105,0.035,1
fips08107,0.0213,1
fips08109,0.039,1
fips08113,0.0213,1
fips08115,0.0664,1
fips08117,0.0213,1
fips08121,0.0953,1
fips08123,0.0259,1
fips08125,0.1124,1
fips10001,0.3013,1
fips10005,0.3013,1
fips12001,0.3315,1
fips12009,0.2651,1
fips12011,0.1245,1
fips12015,0.1766,1
fips12021,0.2446,1
fips12027,0.2782,1
fips12035,0.2843,1
fips12041,0.338,1
fips12043,0.0418,1
fips12047,0.334,1
fips12049,0.2829,1
fips12051,0.1114,1
fips12055,0.2448,1
fips12057,0.2764,1
fips12061,0.1654,1
fips12063,0.337,1
fips12069,0.2772,1
fips12071,0.1923,1
fips12075,0.3313,1
fips12079,0.3411,1
fips12081,0.2822,1
fips12083,0.3222,1
fips12085,0.0498,1
fips12086,0.3116,1
fips12093,0.2427,1
fips12095,0.277,1
fips12097,0.2472,1
fips12099,0.0352,1
fips12101,0.2993,1
fips12105,0.2664,1
fips12107,0.2879,1
fips12109,0.2693,1
fips12111,0.1214,1
fips12121,0.3379,1
fips12127,0.2671,1
fips13007,0.3227,1
fips13027,0.3299,1
fips13033,0.3016,1
fips13037,0.1471,1
fips13069,0.2265,1
fips13071,0.155,1
fips13081,0.2746,1
fips13087,0.3369,1
fips13093,0.3058,1
fips13095,0.3355,1
fips13099,0.3055,1
fips13155,0.2055,1
fips13163,0.3144,1
fips13177,0.3036,1
fips13193,0.2801,1
fips13201,0.3393,1
fips13205,0.3295,1
fips13235,0.2715,1
fips13243,0.1897,1
fips13251,0.2959,1
fips13253,0.3408,1
fips13261,0.2622,1
fips13273,0.2445,1
fips13277,0.2034,1
fips13287,0.2393,1
fips13315,0.2701,1
fips13321,0.2863,1
fips16001,0.0712,1
fips16003,0.0276,1
fips16005,0.0865,1
fips16007,0.0247,1
fips16011,0.1919,1
fips16013,0.1352,1
fips16019,0.1093,1
fips16021,0.1331,1
fips16023,0.1896,1
fips16025,0.2072,1
fips16027,0.092,1
fips16029,0.0762,1
fips16031,0.2125,1
fips16033,0.1395,1
fips16035,0.0714,1
fips16037,0.0506,1
fips16039,0.1105,1
fips16041,0.05,1
fips16043,0.0745,1
fips16045,0.036,1
fips16047,0.1037,1
fips16049,0.028,1
fips16051,0.1789,1
fips16053,0.0675,1
fips16055,0.1312,1
fips16057,0.2053,1
fips16059,0.0278,1
fips16061,0.1001,1
fips16063,0.1436,1
fips16065,0.1224,1
fips16067,0.216,1
fips16069,0.0446,1
fips16071,0.1645,1
fips16073,0.0711,1
fips16075,0.0509,1
fips16077,0.2378,1
fips16081,0.1038,1
fips16083,0.1014,1
fips16085,0.0245,1
fips16087,0.084,1
fips17017,0.3367,1
fips17101,0.3434,1
fips17125,0.3433,1
fips17179,0.3434,1
fips17193,0.339,1
fips17195,0.3406,1
fips18073,0.1131,1
fips18091,0.1808,1
fips20009,0.4536,1
fips20023,0.4653,1
fips20027,0.3412,1
fips20029,0.4377,1
fips20039,0.4623,1
fips20047,0.4647,1
fips20055,0.4631,1
fips20057,0.4646,1
fips20063,0.4619,1
fips20065,0.4659,1
fips20067,0.4651,1
fips20069,0.4644,1
fips20071,0.4635,1
fips20075,0.4198,1
fips20079,0.4512,1
fips20081,0.4637,1
fips20083,0.4543,1
fips20089,0.0398,1
fips20093,0.3587,1
fips20095,0.4605,1
fips20097,0.4653,1
fips20101,0.4585,1
fips20113,0.4301,1
fips20119,0.4645,1
fips20123,0.0428,1
fips20129,0.4653,1
fips20137,0.4475,1
fips20145,0.4562,1
fips20147,0.1635,1
fips20151,0.4653,1
fips20153,0.463,1
fips20155,0.4636,1
fips20157,0.3988,1
fips20159,0.4639,1
fips20165,0.4322,1
fips20171,0.4552,1
fips20173,0.4542,1
fips20175,0.491,1
fips20179,0.4647,1
fips20181,0.4652,1
fips20185,0.4646,1
fips20187,0.4621,1
fips20189,0.44,1
fips20193,0.4652,1
fips20199,0.4648,1
fips20203,0.4627,1
fips22001,0.1991,1
fips22003,0.2114,1
fips22009,0.2453,1
fips22019,0.2128,1
fips22023,0.1277,1
fips22025,0.1859,1
fips22029,0.23,1
fips22035,0.2403,1
fips22039,0.2428,1
fips22041,0.2151,1
fips22053,0.1993,1
fips22065,0.2578,1
fips22067,0.1968,1
fips22069,0.0573,1
fips22073,0.1063,1
fips22077,0.2635,1
fips22079,0.0915,1
fips22083,0.2036,1
fips22097,0.2301,1
fips22107,0.2476,1
fips22113,0.1279,1
fips22123,0.2387,1
fips24011,0.2737,1
fips24019,0.3236,1
fips24035,0.2857,1
fips25023,0.2385,1
fips26005,0.1322,1
fips26009,0.2253,1
fips26021,0.1737,1
fips26023,0.1336,1
fips26027,0.2233,1
fips26077,0.1755,1
fips26107,0.2176,1
fips26117,0.2099,1
fips26149,0.1916,1
fips26159,0.2145,1
fips27037,0.3422,1
fips27057,0.1895,1
fips27097,0.1958,1
fips27111,0.2023,1
fips27121,0.1676,1
fips27141,0.2069,1
fips27145,0.1641,1
fips27151,0.245,1
fips27159,0.3783,1
fips28011,0.2604,1
fips28015,0.2963,1
fips28027,0.2739,1
fips28033,0.2771,1
fips28051,0.2893,1
fips28053,0.277,1
fips28055,0.2744,1
fips28083,0.2714,1
fips28103,0.0251,1
fips28107,0.2818,1
fips28119,0.2628,1
fips28125,0.2679,1
fips28133,0.2638,1
fips28135,0.2768,1
