node,electricity,blue_water
fips01003,0.3473,1
fips01083,0.1343,1
fips01097,0.3744,1
fips04003,0.5866,1
fips04009,0.2197,1
fips04012,0.0758,1
fips04013,0.3574,1
fips04015,0.2078,1
fips04019,0.2145,1
fips04021,0.3193,1
fips04025,0.1154,1
fips04027,0.0592,1
fips05001,0.1821,1
fips05003,0.2712,1
fips05017,0.2337,1
fips05021,0.2945,1
fips05031,0.2587,1
fips05035,0.3292,1
fips05037,0.2851,1
fips05041,0.2371,1
fips05043,0.2556,1
fips05055,0.2936,1
fips05063,0.2349,1
fips05067,0.2851,1
fips05069,0.2547,1
fips05073,0.3244,1
fips05075,0.2739,1
fips05077,0.3036,1
fips05079,0.2691,1
fips05081,0.1154,1
fips05085,0.211,1
fips05093,0.3423,1
fips05095,0.2744,1
fips05107,0.3224,1
fips05111,0.2766,1
fips05117,0.2042,1
fips05119,0.226,1
fips05121,0.2248,1
fips05123,0.3018,1
fips05145,0.1734,1
fips05147,0.291,1
fips06001,0.1588,1
fips06005,0.154,1
fips06007,0.2357,1
fips06009,0.1567,1
fips06011,0.1859,1
fips06013,0.0564,1
fips06015,0.2002,1
fips06017,0.1689,1
fips06019,0.1239,1
fips06021,0.2067,1
fips06023,0.2016,1
fips06025,0.1445,1
fips06027,0.1419,1
fips06029,0.1963,1
fips06031,0.1845,1
fips06033,0.1864,1
fips06035,0.1768,1
fips06037,0.2074,1
fips06039,0.1969,1
fips06041,0.157,1
fips06043,0.1419,1
fips06045,0.1638,1
fips06047,0.1481,1
fips06049,0.1857,1
fips06051,0.1938,1
fips06053,0.1785,1
fips06055,0.159,1
fips06057,0.1736,1
fips06061,0.1706,1
fips06063,0.1719,1
fips06065,0.1546,1
fips06067,0.1411,1
fips06069,0.1699,1
fips06071,0.1932,1
fips06073,0.1738,1
fips06077,0.1366,1
fips06079,0.1628,1
fips06081,0.1995,1
fips06083,0.1737,1
fips06087,0.1634,1
fips06089,0.1511,1
fips06091,0.178,1
fips06093,0.1911,1
fips06095,0.144,1
fips06097,0.167,1
fips06099,0.1343,1
fips06101,0.1563,1
fips06103,0.1747,1
fips06105,0.2065,1
fips06107,0.1729,1
fips06111,0.1683,1
fips06113,0.0868,1
fips06115,0.1535,1
fips08001,0.028,1
fips08003,0.0684,1
fips08007,0.024,1
fips08009,0.1169,1
fips08011,0.0254,1
fips08013,0.024,1
fips08015,0.024,1
fips08017,0.1115,1
fips08021,0.033,1
fips08023,0.0533,1
fips08025,0.0312,1
fips08027,0.024,1
fips08029,0.024,1
fips08037,0.024,1
fips08039,0.041,1
fips08043,0.024,1
fips08045,0.024,1
fips08049,0.024,1
fips08051,0.024,1
fips08053,0.0241,1
fips08055,0.024,1
fips08057,0.024,1
fips08059,0.024,1
fips08063,0.1196,1
fips08065,0.024,1
fips08067,0.024,1
fips08069,0.024,1
fips08071,0.024,1
fips08075,0.0633,1
fips08077,0.024,1
fips08081,0.024,1
fips08083,0.024,1
fips08085,0.024,1
fips08087,0.0345,1
fips08089,0.0248,1
fips08091,0.024,1
fips08093,0.024,1
fips08095,0.1258,1
fips08097,0.024,1
fips08099,0.0395,1
fips08101,0.025,1
fips08103,0.024,1
fips08105,0.0394,1
fips08107,0.024,1
fips08109,0.0439,1
fips08113,0.024,1
fips08115,0.0747,1
fips08117,0.024,1
fips08121,0.1072,1
fips08123,0.0291,1
fips08125,0.1264,1
fips10001,0.339,1
fips10005,0.339,1
fips12001,0.373,1
fips12009,0.2982,1
fips12011,0.14,1
fips12015,0.1987,1
fips12021,0.2752,1
fips12027,0.3129,1
fips12035,0.3198,1
fips12041,0.3803,1
fips12043,0.0471,1
fips12047,0.3758,1
fips12049,0.3183,1
fips12051,0.1253,1
fips12055,0.2753,1
fips12057,0.311,1
fips12061,0.1861,1
fips12063,0.3791,1
fips12069,0.3118,1
fips12071,0.2164,1
fips12075,0.3728,1
fips12079,0.3837,1
fips12081,0.3175,1
fips12083,0.3625,1
fips12085,0.056,1
fips12086,0.3505,1
fips12093,0.2731,1
fips12095,0.3116,1
fips12097,0.2781,1
fips12099,0.0396,1
fips12101,0.3368,1
fips12105,0.2997,1
fips12107,0.3239,1
fips12109,0.3029,1
fips12111,0.1366,1
fips12121,0.3802,1
fips12127,0.3005,1
fips13007,0.363,1
fips13027,0.3712,1
fips13033,0.3393,1
fips13037,0.1655,1
fips13069,0.2548,1
fips13071,0.1744,1
fips13081,0.3089,1
fips13087,0.379,1
fips13093,0.344,1
fips13095,0.3774,1
fips13099,0.3437,1
fips13155,0.2311,1
fips13163,0.3537,1
fips13177,0.3416,1
fips13193,0.3151,1
fips13201,0.3817,1
fips13205,0.3707,1
fips13235,0.3055,1
fips13243,0.2134,1
fips13251,0.3329,1
fips13253,0.3834,1
fips13261,0.295,1
fips13273,0.2751,1
fips13277,0.2288,1
fips13287,0.2692,1
fips13315,0.3039,1
fips13321,0.3221,1
fips16001,0.0801,1
fips16003,0.0311,1
fips16005,0.0973,1
fips16007,0.0278,1
fips16011,0.2159,1
fips16013,0.1521,1
fips16019,0.123,1
fips16021,0.1497,1
fips16023,0.2133,1
fips16025,0.2331,1
fips16027,0.1034,1
fips16029,0.0857,1
fips16031,0.2391,1
fips16033,0.157,1
fips16035,0.0803,1
fips16037,0.0569,1
fips16039,0.1243,1
fips16041,0.0562,1
fips16043,0.0839,1
fips16045,0.0405,1
fips16047,0.1166,1
fips16049,0.0314,1
fips16051,0.2013,1
fips16053,0.0759,1
fips16055,0.1476,1
fips16057,0.2309,1
fips16059,0.0313,1
fips16061,0.1126,1
fips16063,0.1616,1
fips16065,0.1377,1
fips16067,0.243,1
fips16069,0.0502,1
fips16071,0.1851,1
fips16073,0.08,1
fips16075,0.0573,1
fips16077,0.2675,1
fips16081,0.1168,1
fips16083,0.1141,1
fips16085,0.0276,1
fips16087,0.0945,1
fips17017,0.3788,1
fips17101,0.3863,1
fips17125,0.3862,1
fips17179,0.3863,1
fips17193,0.3814,1
fips17195,0.3832,1
fips18073,0.1272,1
fips18091,0.2034,1
fips20009,0.5103,1
fips20023,0.5234,1
fips20027,0.3838,1
fips20029,0.4924,1
fips20039,0.5201,1
fips20047,0.5228,1
fips20055,0.521,1
fips20057,0.5227,1
fips20063,0.5197,1
fips20065,0.5242,1
fips20067,0.5233,1
fips20069,0.5225,1
fips20071,0.5215,1
fips20075,0.4723,1
fips20079,0.5076,1
fips20081,0.5216,1
fips20083,0.5111,1
fips20089,0.0448,1
