node,irrigation_water
fips01003,0.75
fips01083,0.75
fips01097,0.75
fips04003,0.7486
fips04009,0.6759
fips04012,0.6517
fips04013,0.6291
fips04015,0.6639
fips04019,0.6027
fips04021,0.625
fips04025,0.6259
fips04027,0.6516
fips05001,0.6
fips05003,0.6
fips05017,0.6189
fips05021,0.6033
fips05031,0.601
fips05035,0.6567
fips05037,0.6118
fips05041,0.6027
fips05043,0.6014
fips05055,0.6063
fips05063,0.6231
fips05067,0.6034
fips05069,0.607
fips05073,0.6466
fips05075,0.6006
fips05077,0.6213
fips05079,0.6
fips05081,0.6
fips05085,0.6002
fips05093,0.6802
fips05095,0.6002
fips05107,0.6531
fips05111,0.6084
fips05117,0.6008
fips05119,0.632
fips05121,0.6
fips05123,0.6342
fips05145,0.6078
fips05147,0.6155
fips06001,0.8944
fips06005,0.8409
fips06007,0.7834
fips06009,0.888
fips06011,0.7846
fips06013,0.8523
fips06015,0.7737
fips06017,0.8439
fips06019,0.7505
fips06021,0.774
fips06023,0.7409
fips06025,0.6214
fips06027,0.6
fips06029,0.7644
fips06031,0.6881
fips06033,0.7966
fips06035,0.6789
fips06037,0.7518
fips06039,0.7934
fips06041,0.9
fips06043,0.6
fips06045,0.8648
fips06047,0.7153
fips06049,0.7074
fips06051,0.7171
fips06053,0.8018
fips06055,0.8924
fips06057,0.7216
fips06061,0.7212
fips06063,0.6722
fips06065,0.7176
fips06067,0.6885
fips06069,0.8578
fips06071,0.7846
fips06073,0.8382
fips06077,0.7509
fips06079,0.8763
fips06081,0.7758
fips06083,0.8278
fips06087,0.881
fips06089,0.684
fips06091,0.6816
fips06093,0.7303
fips06095,0.6148
fips06097,0.8636
fips06099,0.7509
fips06101,0.6969
fips06103,0.7506
fips06105,0.7551
fips06107,0.7396
fips06111,0.85
fips06113,0.6858
fips06115,0.7089
fips08001,0.7134
fips08003,0.6891
fips08007,0.6072
fips08009,0.7314
fips08011,0.6224
fips08013,0.622
fips08015,0.6429
fips08017,0.7222
fips08021,0.6504
fips08023,0.6951
fips08025,0.6146
fips08027,0.6012
fips08029,0.6141
fips08037,0.638
fips08039,0.6831
fips08043,0.6122
fips08045,0.6256
fips08049,0.6026
fips08051,0.6014
fips08053,0.6
fips08055,0.6098
fips08057,0.6
fips08059,0.655
fips08063,0.7357
fips08065,0.6014
fips08067,0.6274
