node,irrigation_water
fips01001,0.75
fips01003,0.75
fips01005,0.75
fips01007,0.75
fips01009,0.75
fips01011,0.75
fips01013,0.75
fips01015,0.75
fips01017,0.75
fips01019,0.75
fips01021,0.75
fips01023,0.75
fips01025,0.75
fips01027,0.75
fips01029,0.75
fips01031,0.75
fips01033,0.75
fips01035,0.75
fips01037,0.75
fips01039,0.75
fips01041,0.75
fips01043,0.75
fips01045,0.75
fips01047,0.75
fips01049,0.75
fips01051,0.75
fips01053,0.75
fips01055,0.75
fips01057,0.75
fips01059,0.75
fips01061,0.75
fips01063,0.75
fips01065,0.75
fips01067,0.75
fips01069,0.75
fips01071,0.75
fips01073,0.75
fips01075,0.75
fips01077,0.75
fips01079,0.75
fips01081,0.75
fips01083,0.75
fips01085,0.75
fips01087,0.75
fips01089,0.75
fips01091,0.75
fips01093,0.75
fips01095,0.75
fips01097,0.75
fips01099,0.75
fips01101,0.75
fips01103,0.75
fips01105,0.75
fips01107,0.75
fips01109,0.75
fips01111,0.75
fips01113,0.75
fips01115,0.75
fips01117,0.75
fips01119,0.75
fips01121,0.75
fips01123,0.75
fips01125,0.75
fips01127,0.75
fips01129,0.75
fips01131,0.75
fips01133,0.75
fips02013,0.7485
fips02016,0.75
fips02020,0.75
fips02050,0.7485
fips02060,0.7485
fips02063,0.7485
fips02066,0.7485
fips02068,0.7485
fips02070,0.7485
fips02090,0.75
fips02100,0.7485
fips02105,0.7485
fips02110,0.75
fips02122,0.75
fips02130,0.7485
fips02150,0.7485
fips02158,0.7485
fips02164,0.7485
fips02170,0.7393
fips02180,0.7485
fips02185,0.7485
fips02188,0.7485
fips02195,0.7485
fips02198,0.7485
fips02220,0.7485
fips02230,0.7485
fips02240,0.75
fips02275,0.7485
fips02282,0.7485
fips02290,0.7485
fips04001,0.6046
fips04003,0.7486
fips04005,0.75
fips04007,0.7096
fips04009,0.6759
fips04011,0.6118
fips04012,0.6517
fips04013,0.6291
fips04015,0.6639
fips04017,0.6042
fips04019,0.6027
fips04021,0.625
fips04023,0.6234
fips04025,0.6259
fips04027,0.6516
fips05001,0.6
fips05003,0.6
fips05005,0.6156
fips05007,0.6156
fips05009,0.6156
fips05011,0.6156
fips05013,0.6156
fips05015,0.6156
fips05017,0.6189
fips05019,0.6
fips05021,0.6033
fips05023,0.6156
fips05025,0.6156
fips05027,0.6156
fips05029,0.6
fips05031,0.601
fips05033,0.6718
fips05035,0.6567
fips05037,0.6118
fips05039,0.6156
fips05041,0.6027
fips05043,0.6014
fips05045,0.6
fips05047,0.6
fips05049,0.6
fips05051,0.6156
fips05053,0.6156
fips05055,0.6063
fips05057,0.6156
fips05059,0.6
fips05061,0.6156
fips05063,0.6231
fips05065,0.6156
fips05067,0.6034
fips05069,0.607
fips05071,0.6
fips05073,0.6466
fips05075,0.6006
fips05077,0.6213
fips05079,0.6
fips05081,0.6
fips05083,0.6156
fips05085,0.6002
fips05087,0.6156
fips05089,0.6156
fips05091,0.675
fips05093,0.6802
fips05095,0.6002
fips05097,0.6156
fips05099,0.6156
fips05101,0.6156
fips05103,0.6156
fips05105,0.6
fips05107,0.6531
fips05109,0.6156
fips05111,0.6084
fips05113,0.6
fips05115,0.6
fips05117,0.6008
fips05119,0.632
fips05121,0.6
fips05123,0.6342
fips05125,0.6
fips05127,0.75
fips05129,0.6156
fips05131,0.6
fips05133,0.6
fips05135,0.6156
fips05137,0.6
fips05139,0.6156
fips05141,0.6156
fips05143,0.6
fips05145,0.6078
fips05147,0.6155
fips05149,0.6156
fips06001,0.8944
fips06003,0.6
fips06005,0.8409
fips06007,0.7834
fips06009,0.888
fips06011,0.7846
fips06013,0.8523
fips06015,0.7737
fips06017,0.8439
fips06019,0.7505
fips06021,0.774
fips06023,0.7409
fips06025,0.6214
fips06027,0.6
fips06029,0.7644
fips06031,0.6881
fips06033,0.7966
fips06035,0.6789
fips06037,0.7518
fips06039,0.7934
fips06041,0.9
fips06043,0.6
fips06045,0.8648
fips06047,0.7153
fips06049,0.7074
fips06051,0.7171
fips06053,0.8018
fips06055,0.8924
fips06057,0.7216
fips06059,0.8943
fips06061,0.7212
fips06063,0.6722
fips06065,0.7176
fips06067,0.6885
fips06069,0.8578
