node,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total consumption (m3),total-check,diff
fips01001,589250.7045,368682.5623,618382.8105,18391.13666,336600.688,541657.7263,654896.399,15243.66132,28957.541,62300.90666,190254.9679,57202.65122,3481821.755,3481821.755,2.67E-16
fips01003,507442.7423,606846.6803,3651502.703,6825754.178,6912257.167,8518738.527,8857383.441,6388595.769,5336221.455,5005379.554,1660231.423,516610.7425,54786964.38,54786964.38,1.36E-16
fips01005,11048.11707,12036.38804,47587.22039,319215.2048,472273.7163,425323.9435,220789.9789,386369.852,225803.8222,90620.9946,37527.80559,14776.1107,2263373.154,2263373.154,2.06E-16
fips01007,5161.388719,3320.928833,4554.988258,142.0058249,3078.01683,4668.324754,6889.012057,115.4257942,250.3150275,609.7855326,1658.052271,639.4503412,31087.69424,31087.69424,1.17E-16
fips01009,44443.00898,25070.93166,53631.64962,1443.554391,29864.06203,68993.21545,82794.93353,1243.637853,2413.279065,5566.466491,15539.99699,6926.790425,337931.5265,337931.5265,1.72E-16
fips01011,380974.4081,236509.6489,271852.124,6910.134756,146712.989,216359.4312,355203.7117,7439.164039,9427.297661,23998.24837,65414.28633,34059.93283,1754861.377,1754861.377,0
fips01013,0,1.857687882,372.8462958,2350.714504,3480.639161,3209.241755,947.2653442,0,0,0,0,0,10362.56475,10362.56475,0
fips01015,6528.082431,4645.160993,26764.86178,101132.72,148134.3132,270629.6382,201454.0752,228984.5013,119651.2414,65371.01916,25285.18802,12389.3437,1210970.145,1210970.145,1.92E-16
fips01017,374.6615184,380.8634965,1325.67979,8598.301518,11543.70347,11500.64171,9079.716913,11677.34456,9298.512715,6314.579708,1998.882065,445.0657771,72537.95323,72537.95323,2.01E-16
fips01019,6364.364516,7751.35381,54687.26021,270951.6904,383057.6978,648438.0048,475139.3841,287690.8569,95815.46229,58992.25506,22768.68498,5739.090648,2317396.106,2317396.106,2.01E-16
fips01021,1438.714126,1429.105578,5462.539866,42693.90103,67604.91736,75804.91145,48535.20454,40225.62837,24175.7725,22975.71979,8232.881388,3385.340674,341964.6367,341964.6367,0
fips01023,0,0,131.3004927,1192.851197,2073.349888,3591.404964,2058.13956,1120.677801,194.840845,0,0,0,10362.56475,10362.56475,0
fips01025,0,0,649.9278713,4857.016917,6649.547855,6617.390295,1951.246558,0,0,0,0,0,20725.1295,20725.1295,0
fips01027,0,0,0,0,825.8270078,4769.078075,4852.061862,4351.293523,2398.742391,227.0280114,0,0,17424.03087,17424.03087,0
fips01029,17793.74166,12327.8195,18364.19542,577.9546119,10082.23968,21865.78516,29062.00347,465.8863312,980.3247178,2211.455222,5487.335601,2749.474714,121968.2161,121968.2161,-1.19E-16
fips01031,583071.8497,326508.3192,586683.1426,13827.5069,287136.2678,498939.2033,502981.5606,13406.11128,20666.17906,48589.90494,138398.8758,54113.67999,3074322.601,3074322.601,0
fips01033,4094.043221,5481.621518,28318.96199,128807.5083,231151.3,378490.7332,337668.2481,211214.6981,75517.99246,63811.44866,18111.23717,5149.461545,1487817.254,1487817.254,1.56E-16
fips01035,277.7661628,337.573754,1435.241646,6448.889528,9029.928903,7660.332161,9311.621884,7924.18368,4542.461185,3429.275485,1021.066627,394.4827236,51812.82374,51812.82374,0
fips01037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips01039,10834.8986,12749.15739,53205.91311,302358.0214,551458.7263,461981.2277,494914.5066,523534.6277,217482.409,100777.5475,34941.83331,15425.44739,2779664.316,2779664.316,-1.68E-16
fips01041,1786.05991,1446.78642,6323.466184,40503.25195,68343.19851,69274.68519,86340.65983,82346.35163,37241.20923,16967.55537,5160.960867,2442.555785,418176.7409,418176.7409,-1.39E-16
fips01043,2824.103073,2701.366037,14652.19248,49013.50473,80237.76141,141505.7937,122101.0125,64223.69576,26247.67637,19321.87231,7939.086738,3320.179959,534088.2451,534088.2451,0
fips01045,6943.474969,6576.257463,24440.28462,135093.7349,252128.2576,207819.0112,201917.5576,249877.5572,128107.5052,68327.76468,25672.46234,10806.49762,1317710.365,1317710.365,1.77E-16
fips01047,13696.15192,9775.207602,41401.46927,258928.8162,363759.7409,428566.0942,410892.6511,527602.3135,271327.2893,152359.0473,45034.03606,21197.39166,2544540.209,2544540.209,3.66E-16
fips01049,228165.8327,149306.1934,327256.9406,7569.553124,148704.7313,359258.3689,421536.0862,6631.370221,9341.5172,30870.94387,77487.28074,31015.13867,1797143.957,1797143.957,0
fips01051,11617.35554,11060.33793,38644.12387,293155.2816,422724.2002,466786.6227,295790.8174,150114.5975,82860.52171,67880.87675,32207.66753,13804.26955,1886646.672,1886646.672,1.23E-16
fips01053,5297.386315,6999.322504,44581.05823,213427.8861,267611.1269,228477.9159,196861.764,163975.4542,96459.58034,68922.15889,22664.53556,8474.795066,1323752.984,1323752.984,-1.76E-16
fips01055,3218.094681,1719.465563,2914.735568,1068.620258,1587.789425,5272.728014,6036.101549,688.7990994,266.2550216,642.4194348,958.344275,1762.693416,26136.0463,26136.0463,-1.39E-16
fips01057,0,0,0,4190.410727,22194.88958,63521.33587,53863.20173,34725.18446,4457.301759,0,0,0,182952.3241,182952.3241,0
fips01059,59791.35759,32329.45697,112050.3922,1931.415595,51682.80104,95623.85313,106335.7758,1791.885469,2634.186587,7406.670404,26557.35638,7161.744034,505296.8952,505296.8952,0
fips01061,1110597.545,629976.5623,513278.1411,124193.6862,296541.1568,651634.8971,828909.0184,97705.96725,57689.86752,164618.7547,356733.7651,260760.8041,5092640.166,5092640.166,0
fips01063,57836.92364,36371.97294,60488.30053,1318.740787,35516.05417,54700.36364,79667.79328,1121.713316,1917.906614,4641.942104,16093.75919,8062.648017,357738.1182,357738.1182,0
fips01065,3703.081883,3518.456673,17470.13273,120329.7797,178617.6672,202554.8536,125188.376,131462.2551,87592.61741,49896.97739,16532.67309,6126.521245,942993.392,942993.392,1.23E-16
fips01067,1044840.728,598504.7633,891996.4959,29619.74553,467628.5741,752606.1332,891881.8228,28854.15487,42289.99599,110304.6614,245384.5861,106677.7033,5210589.365,5210589.365,0
fips01069,38754.22379,37404.78588,135674.9162,729652.357,1285538.91,1103863.5,950317.3775,1004125.557,518432.1374,288799.4327,147496.3434,53332.45265,6293391.994,6293391.994,1.48E-16
fips01071,2421.787124,1742.487337,5029.199765,25070.38976,41461.3547,88554.60343,90716.69438,105041.7405,46781.81824,24711.25772,10621.45735,3164.751176,445317.5414,445317.5414,0
fips01073,0,0,0,4177.726049,20199.51406,60136.23094,53683.8708,35161.79658,5373.549335,0,0,0,178732.6878,178732.6878,-1.63E-16
fips01075,9126.451133,5349.831689,13717.96712,249.7001595,6444.783612,13065.17965,16245.13928,209.1219022,327.959071,775.3802541,2756.867945,1427.741668,69696.12348,69696.12348,0
fips01077,106318.9367,56759.43836,203023.2919,3270.758261,93475.95723,172656.8323,187013.333,3054.642872,4476.796571,12739.51042,47738.21196,12120.4874,902648.197,902648.197,-1.29E-16
fips01079,8338.46475,7134.337704,25720.78035,120808.8925,222953.9472,388593.199,349414.2441,501139.4953,244077.088,118042.6092,31625.21513,11592.05406,2029440.327,2029440.327,0
fips01081,358838.883,218900.9607,124837.1393,5173.862483,68532.48731,204456.613,355008.6178,5965.117061,6620.173327,19042.93941,51049.25028,32074.37133,1450500.415,1450500.415,-1.61E-16
fips01083,822839.5942,429175.856,2053343.243,104524.1187,931362.5098,1571854.364,1560799.579,63818.52037,54620.2713,152683.1107,439462.7805,220831.9025,8405315.849,8405315.849,0
fips01085,26812.45506,20707.75641,72041.05643,459283.1375,755180.8297,854540.244,832623.9975,1010796.421,552403.9062,279516.6214,85515.01202,42563.40715,4991984.844,4991984.844,0
fips01087,16449.34038,20823.53708,115970.5078,872412.3914,1400236.538,1439610.65,835483.5668,463605.8455,171144.7172,141125.0227,54451.41873,20680.88796,5551994.423,5551994.423,-3.35E-16
fips01089,33068.76853,23551.01028,74442.67101,348335.2386,604724.8331,1192746.564,1260713.414,1787940.839,788051.3042,359462.5391,104687.0592,41040.67998,6618764.921,6618764.921,0
fips01091,0,0,4128.948473,37904.24751,52542.63163,59195.39085,22392.38225,0,0,0,0,0,176163.6007,176163.6007,0
fips01093,0,0,0,2157.651995,13843.39666,40379.42784,34053.74216,21132.48325,2421.510325,0,0,0,113988.2122,113988.2122,-1.28E-16
fips01095,4044.370935,3649.816,20548.0993,66996.87182,107643.4427,176239.3743,136636.5638,141929.2606,105328.7961,49450.13435,16029.49072,5919.875933,834416.0966,834416.0966,-1.40E-16
fips01097,98060.62301,171893.6697,874987.368,1374627.408,1176141.877,978208.4282,1044827.589,1159799.492,614016.253,1172596.725,470499.2904,132880.3245,9268539.047,9268539.047,0
fips01099,0,75.58057452,16862.20902,94182.78226,140801.1404,134907.4441,38035.99832,0,0,0,0,0,424865.1547,424865.1547,2.74E-16
fips01101,25712.48633,24836.2684,101628.1946,550805.6875,1002866.599,1013689.129,619535.9239,815406.7525,448796.8671,226143.4929,81259.44788,35204.675,4945885.524,4945885.524,0
fips01103,26063.39095,12314.79232,51552.83846,5858.966693,24054.31467,46866.26368,47605.89266,3294.617439,2551.865885,5836.816582,12063.53496,14857.89601,252921.1903,252921.1903,1.15E-16
fips01105,0,0,10006.32073,94018.87704,163645.5952,196004.4623,84589.79026,950.8861221,0,0,0,0,549215.9316,549215.9316,0
fips01107,5718.771295,4608.702231,32713.91389,113674.8282,192210.0247,310924.5926,243683.2605,314054.8759,160956.544,67359.84336,18458.58887,7966.662953,1472330.608,1472330.608,0
fips01109,3500.144189,3382.275224,16485.76192,128970.8141,210252.4564,186994.8251,144057.8943,205220.1719,109995.6276,42518.22349,13094.81591,5081.286689,1069554.297,1069554.297,0
fips01111,5818.780131,3196.51527,3415.168468,2211.618125,2689.569088,7167.186591,7634.92891,1565.308737,472.5000484,1163.42873,1881.407683,2583.297896,39799.70968,39799.70968,-1.83E-16
fips01113,20515.94674,25497.52785,144997.028,927825.9869,1683549.715,1604351.948,865339.6871,536246.1848,251506.6804,190615.1591,73063.73694,27549.6511,6351059.252,6351059.252,2.93E-16
fips01115,6132.590766,4682.28363,26417.16091,102417.8427,179033.4893,331244.9574,276651.9981,231408.9635,140406.7468,75830.77669,27603.37175,13362.90297,1415193.084,1415193.084,1.65E-16
fips01117,23194.61306,14269.20494,78392.96395,265932.232,390503.4898,724734.0182,547459.9978,640072.3599,447517.5662,193025.1792,93498.68965,40069.81299,3458670.128,3458670.128,0
fips01119,0,0,11524.70465,93656.02751,148730.3161,187357.3963,75808.0327,1051.760101,0,0,0,0,518128.2374,518128.2374,0
fips01121,22657.12514,14812.65945,80867.09264,371414.3338,565243.4648,759763.702,542629.4537,484787.3555,361290.8729,204913.6899,89237.11259,44312.74237,3541929.605,3541929.605,-3.94E-16
fips01123,1920.992854,1797.792643,7019.665752,58001.34992,90159.21132,95555.07515,59796.44765,26969.48856,21091.49772,15436.46305,6294.019844,2587.773281,386629.7778,386629.7778,0
fips01125,17375.76395,15016.01886,119190.6634,485885.4717,759454.572,950175.6739,617184.3984,568595.7322,472051.3014,208388.6206,57344.93222,24432.58408,4295095.733,4295095.733,0
fips01127,0,0,0,1175.311002,6132.62825,17779.63124,15221.09131,10186.31876,1317.843168,0,0,0,51812.82374,51812.82374,-1.40E-16
fips01129,0,65.54950159,3620.925243,18958.06221,26019.74723,21542.26691,2331.402131,0,0,0,0,0,72537.95323,72537.95323,0
fips01131,49422.28417,31736.8518,61159.60351,1612.178143,32846.90663,51103.7793,55891.09612,1219.425079,2540.776838,5187.7044,17131.70653,4971.523566,314823.8361,314823.8361,3.70E-16
fips01133,83.56253575,74.87839568,310.8467164,1107.593638,1879.294109,3669.157775,3393.346381,3800.20412,1823.472653,875.1598901,294.6374234,111.8772331,17424.03087,17424.03087,2.09E-16
fips04001,14713.72163,20095.78599,38556.32075,74064.96614,217439.0997,315648.0461,274616.3999,187448.4349,150881.4917,52631.04565,25529.82341,13835.59625,1385460.732,1385460.732,-3.36E-16
fips04003,4776784.58,5672428.745,8726155.64,9029369.631,32082714.18,35834065.54,33723879.38,28922129.82,28091032.33,20478627.8,11488042.8,4733154.595,223558385,223558385,-1.33E-16
fips04005,1112.460729,1420.158103,2642.967867,4831.701337,16199.17375,30789.00267,25988.32825,15925.24594,15017.91475,6461.500154,2874.716285,1087.607145,124350.777,124350.777,0
fips04007,10056.42315,14296.30046,26157.01506,74414.04691,244604.9499,417563.7088,330803.5183,177694.082,104159.4332,47700.84967,18557.57548,8123.522732,1474131.426,1474131.426,-3.16E-16
fips04009,1968320.522,2180680.179,3646237.059,8368259.798,29119170.73,37937946.89,32525744.64,20277985.75,13733722.33,5110107.964,2954068.101,1803858.411,159626102.4,159626102.4,-3.73E-16
fips04011,216379.25,292165.5534,416097.4729,541471.7912,1117973.81,1344461.941,1189017.225,539809.2496,593980.5338,582555.4291,374624.4104,191615.7035,7400152.37,7400152.37,1.26E-16
fips04012,22764045.6,25357059.14,32751444.77,44983647,62005162.09,67564019.62,56882914.97,39769175.97,31651597.78,38418510.22,32757246.96,19962539.73,474867363.9,474867363.9,-1.26E-16
fips04013,44461780.53,52547142.47,72324080.45,85845135.42,124547891.8,134705323.7,115613257,83791329.74,62347068.26,72431750.1,78069132.52,38299363.66,964983255.8,964983255.8,1.24E-16
fips04015,2728750.646,2936495.688,3957123.467,4986580.707,12210724.81,16268952.87,16707619.87,10981026.84,7443796.628,6920231.581,3900665.666,2228909.266,91270878.03,91270878.03,1.63E-16
fips04017,52820.43718,79689.51566,153072.483,242968.3185,777414.4972,1357133.596,1231525.388,954061.8566,779374.2488,293487.1704,120342.9915,52474.60923,6094365.112,6094365.112,1.53E-16
fips04019,1790760.721,2143689.689,4276567.505,6032829.504,10157073.12,10926247.32,7027102.68,5151823.73,7235640.39,5214292.722,3412879.707,1682958.417,65051865.5,65051865.5,-1.15E-16
fips04021,32316344.06,38809747.09,58033104.64,72749043.14,103710121,105364175.4,77860776.52,52979706.61,41110736.54,49443148.29,60216443.46,27474436.48,720067783.2,720067783.2,0
fips04023,634463.7067,237210.9545,497970.1676,99610.2745,524896.737,599489.6866,700918.3105,118604.2349,97010.89196,223045.1756,381535.8104,200539.3225,4315295.273,4315295.273,-2.16E-16
fips04025,235864.5012,280362.8316,465012.7242,805034.2695,2209822.268,4607800.108,4384134.656,3303587.622,2867705.812,1269569.825,490566.9583,224173.2035,21143634.78,21143634.78,-1.76E-16
fips04027,49656935.13,58934470.29,70424046.67,83795738.45,109129925,87119428.96,77359287.9,69608865.52,48800560.61,60989250.98,70412045.85,42953735.6,829184290.9,829184290.9,1.44E-16
fips05001,648652.2017,626479.2193,23511573.57,92129167.43,214356159.5,361377579.8,329282877.9,191122845.7,44784730.08,8101028.306,1602477.522,635390.2213,1268178962,1268178962,0
fips05003,386455.7131,459664.4233,3858290.034,10501187.94,20749630.82,33005461.58,29084658.18,18686936.01,7122346.957,3065246.679,970766.8477,375725.6242,128266370.8,128266370.8,0
fips05005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
