node,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total consumption (m3),total-check,diff
fips01001,589250.7044953014,368682.5622709048,618382.8105199868,18391.136656356302,336600.6879965796,541657.7262778255,654896.3989715178,15243.661320644367,28957.54099645975,62300.90666300805,190254.96785893542,57202.65121648076,3481821.755244,3481821.755244001,2.67481404874562e-16
fips01003,507442.7423310404,606846.6803148438,3651502.702709955,6825754.177570999,6912257.166630473,8518738.527002309,8857383.44085941,6388595.76899549,5336221.454509769,5005379.553701957,1660231.4227994275,516610.7424569173,54786964.37988259,54786964.3798826,1.3599184917899252e-16
fips01005,11048.117067210807,12036.388036718827,47587.220393320364,319215.2047758994,472273.71628082433,425323.9434901713,220789.97892344082,386369.85201778956,225803.82221475116,90620.9945978186,37527.80559435099,14776.110697306658,2263373.1540896026,2263373.154089603,2.0573774433365248e-16
fips01007,5161.388719303749,3320.928833267489,4554.988258107654,142.00582486770722,3078.0168302358884,4668.324753767075,6889.012057311084,115.42579419470098,250.3150274673957,609.7855325578855,1658.0522710144674,639.4503411549034,31087.69424325,31087.694243250004,1.1702311463262088e-16
fips01009,44443.00898493149,25070.93165541359,53631.64962153055,1443.5543905056156,29864.062031648937,68993.21544654893,82794.93352624754,1243.6378528930366,2413.2790650292604,5566.466491329761,15539.996985204294,6926.790424643037,337931.526475926,337931.52647592605,1.7224690907201901e-16
fips01011,380974.40807352314,236509.6488609965,271852.1240072133,6910.13475555871,146712.9889742372,216359.4311980863,355203.7116849287,7439.164039055138,9427.297660539545,23998.248372103106,65414.28633259483,34059.93282917335,1754861.37678801,1754861.37678801,0.0
fips01013,0.0,1.8576878815838456,372.84629583219123,2350.7145037240725,3480.6391609287866,3209.2417551942976,947.2653441890673,0.0,0.0,0.0,0.0,0.0,10362.564747749999,10362.564747749999,0.0
fips01015,6528.082431036,4645.160992938104,26764.861784548662,101132.71998038217,148134.31324462578,270629.6381780769,201454.07522514032,228984.50131052284,119651.24139730155,65371.01916055649,25285.18801981879,12389.343702297665,1210970.1454272452,1210970.1454272454,1.922678643507963e-16
fips01017,374.6615184440161,380.86349652175966,1325.6797900927156,8598.301518461536,11543.703465120925,11500.641706505294,9079.716913410271,11677.344560447045,9298.512715352974,6314.579707891745,1998.8820649393965,445.065777062308,72537.95323424999,72537.95323425,2.0061105365592154e-16
fips01019,6364.3645157484525,7751.3538101207105,54687.26020784994,270951.690439713,383057.6978406702,648438.0048206911,475139.3841275161,287690.856902496,95815.46228957121,58992.25505625675,22768.68497882086,5739.090648298095,2317396.1056377525,2317396.105637753,2.0094160259218537e-16
fips01021,1438.7141261582221,1429.1055781325836,5462.539866107472,42693.90103286968,67604.91735974162,75804.91145247688,48535.20453875829,40225.62836877906,24175.772500621973,22975.7197907151,8232.881387542038,3385.3406738471012,341964.63667575,341964.63667575,0.0
fips01023,0.0,0.0,131.3004926807955,1192.851197088695,2073.3498880561633,3591.4049635621536,2058.1395599994544,1120.6778014012614,194.84084496147622,0.0,0.0,0.0,10362.564747749999,10362.564747749999,0.0
fips01025,0.0,0.0,649.9278713367372,4857.0169166148025,6649.5478552691475,6617.390294702701,1951.2465575766082,0.0,0.0,0.0,0.0,0.0,20725.129495499998,20725.129495499998,0.0
fips01027,0.0,0.0,0.0,0.0,825.8270077902997,4769.07807468044,4852.061861515501,4351.293522566608,2398.742391496385,227.02801140753894,0.0,0.0,17424.030869456772,17424.030869456772,0.0
fips01029,17793.741655837697,12327.819499589375,18364.195420495613,577.954611893998,10082.23968442597,21865.785155094323,29062.003473419205,465.8863312183528,980.3247177630888,2211.4552215148797,5487.33560063162,2749.4747143133636,121968.21608619748,121968.21608619747,-1.1930907653911008e-16
fips01031,583071.8496543402,326508.31919860723,586683.1425790777,13827.50689842522,287136.2678358984,498939.2032891833,502981.5605767432,13406.111280184767,20666.179061686977,48589.904939494125,138398.87579146045,54113.67998801567,3074322.601093117,3074322.601093117,0.0
fips01033,4094.0432209113083,5481.621518290544,28318.961993327328,128807.50827864066,231151.30002953194,378490.7331631199,337668.24813328794,211214.6980699523,75517.99245503894,63811.448660714166,18111.23716587031,5149.461544628818,1487817.254233314,1487817.2542333142,1.564914259405127e-16
fips01035,277.76616280582516,337.57375404790326,1435.2416459416943,6448.889528252354,9029.928903280299,7660.332160770625,9311.621883994714,7924.183679878756,4542.461184660929,3429.2754848590002,1021.0666267011894,394.4827235567124,51812.82373875,51812.82373875,0.0
fips01037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fips01039,10834.898602621572,12749.157392989666,53205.91310998905,302358.02140448784,551458.7262865211,461981.2276985537,494914.50664947135,523534.62771714164,217482.40896403525,100777.54746762657,34941.83331456429,15425.447390618403,2779664.3159986204,2779664.31599862,-1.6752428868032078e-16
fips01041,1786.0599103842528,1446.786420214638,6323.4661836837195,40503.25194842819,68343.19851090344,69274.68519018218,86340.65983109693,82346.35162652451,37241.20922768361,16967.555366627985,5160.960866524618,2442.5557847078785,418176.740866962,418176.74086696195,-1.39193922628962e-16
fips01043,2824.103073086532,2701.3660366997237,14652.192480911503,49013.504729781765,80237.76141179852,141505.7937086819,122101.01252822326,64223.69575887818,26247.676373256098,19321.872310663457,7939.086738491227,3320.1799589226225,534088.2451093949,534088.2451093949,0.0
fips01045,6943.4749690988765,6576.257462838691,24440.28462043873,135093.7348952617,252128.25755518404,207819.0112136625,201917.5575635673,249877.55722625038,128107.5052191999,68327.76467763085,25672.462343395902,10806.497618800857,1317710.3653653297,1317710.36536533,1.766933385162515e-16
fips01047,13696.151922234085,9775.20760168385,41401.469273036135,258928.81622732704,363759.7408523978,428566.0941911808,410892.6510565713,527602.3135233328,271327.2892614957,152359.0472540127,45034.03606046138,21197.391663979342,2544540.208887712,2544540.208887713,3.660081972226271e-16
