node,sprinkler_percentage,drip_percentage,surface_percentage
fips01001,1.0,0.0,0.0
fips01003,1.0,0.0,0.0
fips01005,1.0,0.0,0.0
fips01007,1.0,0.0,0.0
fips01009,1.0,0.0,0.0
fips01011,1.0,0.0,0.0
fips01013,1.0,0.0,0.0
fips01015,1.0,0.0,0.0
fips01017,1.0,0.0,0.0
fips01019,1.0,0.0,0.0
fips01021,1.0,0.0,0.0
fips01023,1.0,0.0,0.0
fips01025,1.0,0.0,0.0
fips01027,1.0,0.0,0.0
fips01029,1.0,0.0,0.0
fips01031,1.0,0.0,0.0
fips01033,1.0,0.0,0.0
fips01035,1.0,0.0,0.0
fips01037,1.0,0.0,0.0
fips01039,1.0,0.0,0.0
fips01041,1.0,0.0,0.0
fips01043,1.0,0.0,0.0
fips01045,1.0,0.0,0.0
fips01047,1.0,0.0,0.0
fips01049,1.0,0.0,0.0
fips01051,1.0,0.0,0.0
fips01053,1.0,0.0,0.0
fips01055,1.0,0.0,0.0
fips01057,1.0,0.0,0.0
fips01059,1.0,0.0,0.0
fips01061,1.0,0.0,0.0
fips01063,1.0,0.0,0.0
fips01065,1.0,0.0,0.0
fips01067,1.0,0.0,0.0
fips01069,1.0,0.0,0.0
fips01071,1.0,0.0,0.0
fips01073,1.0,0.0,0.0
fips01075,1.0,0.0,0.0
fips01077,1.0,0.0,0.0
fips01079,1.0,0.0,0.0
fips01081,1.0,0.0,0.0
fips01083,1.0,0.0,0.0
fips01085,1.0,0.0,0.0
fips01087,1.0,0.0,0.0
fips01089,1.0,0.0,0.0
fips01091,1.0,0.0,0.0
fips01093,1.0,0.0,0.0
fips01095,1.0,0.0,0.0
fips01097,1.0,0.0,0.0
fips01099,1.0,0.0,0.0
fips01101,1.0,0.0,0.0
fips01103,1.0,0.0,0.0
fips01105,1.0,0.0,0.0
fips01107,1.0,0.0,0.0
fips01109,1.0,0.0,0.0
fips01111,1.0,0.0,0.0
fips01113,1.0,0.0,0.0
fips01115,1.0,0.0,0.0
fips01117,1.0,0.0,0.0
fips01119,1.0,0.0,0.0
fips01121,1.0,0.0,0.0
fips01123,1.0,0.0,0.0
fips01125,1.0,0.0,0.0
fips01127,1.0,0.0,0.0
fips01129,1.0,0.0,0.0
