node,sprinkler_percentage,drip_percentage,surface_percentage
fips01003,1.0,0.0,0.0
fips01083,1.0,0.0,0.0
fips01097,1.0,0.0,0.0
fips04003,0.911,0.04,0.049
fips04009,0.46,0.023,0.517
fips04012,0.047,0.149,0.804
fips04013,0.01,0.09,0.901
fips04015,0.226,0.1,0.674
fips04019,0.018,0.0,0.982
fips04021,0.055,0.056,0.889
fips04025,0.159,0.009,0.831
fips04027,0.326,0.007,0.668
fips05001,0.0,0.0,1.0
fips05003,0.0,0.0,1.0
fips05017,0.126,0.0,0.874
fips05021,0.022,0.0,0.978
fips05031,0.007,0.0,0.993
fips05035,0.378,0.0,0.622
fips05037,0.079,0.0,0.921
fips05041,0.018,0.0,0.982
fips05043,0.009,0.0,0.991
fips05055,0.042,0.0,0.958
fips05063,0.154,0.0,0.846
fips05067,0.023,0.0,0.977
fips05069,0.047,0.0,0.953
fips05073,0.311,0.0,0.689
fips05075,0.004,0.0,0.996
fips05077,0.142,0.0,0.858
fips05079,0.0,0.0,1.0
fips05081,0.0,0.0,1.0
fips05085,0.001,0.0,0.999
fips05093,0.535,0.0,0.465
fips05095,0.001,0.0,0.999
fips05107,0.354,0.0,0.646
fips05111,0.056,0.0,0.944
fips05117,0.005,0.0,0.995
fips05119,0.213,0.0,0.787
fips05121,0.0,0.0,1.0
fips05123,0.228,0.0,0.772
fips05145,0.052,0.0,0.948
fips05147,0.103,0.0,0.897
fips06001,0.037,0.963,0.0
fips06005,0.0,0.803,0.197
fips06007,0.611,0.306,0.083
fips06009,0.006,0.957,0.037
fips06011,0.031,0.602,0.366
fips06013,0.236,0.723,0.041
fips06015,0.842,0.158,0.0
fips06017,0.25,0.688,0.062
fips06019,0.055,0.472,0.474
fips06021,0.24,0.462,0.297
fips06023,0.893,0.023,0.084
fips06025,0.027,0.056,0.918
fips06027,0.0,0.0,1.0
fips06029,0.182,0.457,0.361
fips06031,0.031,0.278,0.691
fips06033,0.587,0.362,0.051
fips06035,0.526,0.0,0.474
fips06037,0.984,0.014,0.002
fips06039,0.043,0.621,0.337
fips06041,0.0,1.0,0.0
fips06043,0.0,0.0,1.0
fips06045,0.145,0.81,0.045
fips06047,0.071,0.349,0.58
fips06049,0.652,0.032,0.316
fips06051,0.781,0.0,0.219
fips06053,0.449,0.448,0.103
fips06055,0.041,0.954,0.005
fips06057,0.435,0.188,0.377
fips06061,0.534,0.137,0.329
fips06063,0.449,0.016,0.535
fips06065,0.116,0.332,0.553
fips06067,0.1,0.245,0.655
fips06069,0.255,0.732,0.013
fips06071,0.713,0.259,0.028
fips06073,0.338,0.625,0.037
fips06077,0.186,0.41,0.404
fips06079,0.118,0.864,0.017
fips06081,0.828,0.172,0.0
fips06083,0.345,0.587,0.068
