node,ground (m3),surface (m3),total (m3),gw_percentages,sw_percentages
fips01001,4642429.006992,0.0,4642429.006992,1.0,0.0
fips01003,65173623.88684899,7875661.95299446,73049285.83984345,0.8921870095997733,0.10781299040022672
fips01005,787554.920829,2230275.95129047,3017830.87211947,0.2609672159248234,0.7390327840751766
fips01007,41450.258990999995,0.0,41450.258990999995,1.0,0.0
fips01009,276335.05994,174240.308694568,450575.368634568,0.6132937554429816,0.38670624455701846
fips01011,1271141.275724,1068673.89332668,2339815.16905068,0.5432656786474861,0.4567343213525139
fips01013,13816.752997,0.0,13816.752997,1.0,0.0
fips01015,0.0,1614626.86056966,1614626.86056966,0.0,1.0
fips01017,96717.270979,0.0,96717.270979,1.0,0.0
fips01019,0.0,3089861.47418367,3089861.47418367,0.0,1.0
fips01021,455952.848901,0.0,455952.848901,1.0,0.0
fips01023,13816.752997,0.0,13816.752997,1.0,0.0
fips01025,27633.505994,0.0,27633.505994,1.0,0.0
fips01027,0.0,23232.041159275697,23232.041159275697,0.0,1.0
fips01029,0.0,162624.28811492998,162624.28811492998,0.0,1.0
fips01031,939539.203796,3159557.59766149,4099096.80145749,0.22920639577526786,0.7707936042247322
fips01033,1077706.733766,906049.605211752,1983756.338977752,0.5432656786474857,0.45673432135251435
fips01035,69083.764985,0.0,69083.764985,1.0,0.0
fips01037,0.0,0.0,0.0,,
fips01039,1754727.630619,1951491.45737916,3706219.08799816,0.47345491158397246,0.5265450884160274
fips01041,0.0,557568.987822616,557568.987822616,0.0,1.0
fips01043,386869.083916,325248.57622985996,712117.6601458599,0.5432656786474854,0.45673432135251457
fips01045,455952.848901,1300994.3049194398,1756947.1538204397,0.25951426479136913,0.7404857352086309
fips01047,953355.956793,2439364.3217239496,3392720.2785169496,0.2810004593746637,0.7189995406253362
fips01049,677020.896853,1719171.0457864,2396191.9426394003,0.28254034445473636,0.7174596555452636
fips01051,842821.932817,1672706.96346785,2515528.89628485,0.3350476053213907,0.6649523946786093
fips01053,1381675.2997,383328.679128049,1765003.978828049,0.7828171019860383,0.21718289801396182
fips01055,0.0,34848.0617389135,34848.0617389135,0.0,1.0
fips01057,0.0,243936.432172395,243936.432172395,0.0,1.0
fips01059,0.0,673729.193618995,673729.193618995,0.0,1.0
fips01061,3468005.002247,3322181.88577642,6790186.88802342,0.5107377837219609,0.4892622162780391
fips01063,442136.095904,34848.0617389135,476984.1576429135,0.9269408403182188,0.07305915968178117
fips01065,1257324.5227269998,0.0,1257324.5227269998,1.0,0.0
fips01067,1975795.678571,4971656.808084999,6947452.486655999,0.28439139128564306,0.7156086087143569
fips01069,7101811.040458,1289378.2843398,8391189.3247978,0.8463414142582382,0.15365858574176192
fips01071,373052.330919,220704.391013119,593756.721932119,0.628291549618278,0.37170845038172207
fips01073,110534.023976,127776.22637601598,238310.25035201598,0.46382404371077834,0.5361759562892217
fips01075,0.0,92928.1646371027,92928.1646371027,0.0,1.0
fips01077,773738.167832,429792.7614466,1203530.9292786,0.6428901401776029,0.35710985982239696
fips01079,69083.764985,2636836.67157779,2705920.4365627896,0.025530597297514793,0.9744694027024853
fips01081,400685.83691300004,1533314.7165122002,1934000.5534252003,0.20717979434047615,0.7928202056595238
fips01083,3412737.990259,7794349.80893699,11207087.79919599,0.30451603943924077,0.6954839605607592
fips01085,0.0,6655979.79213248,6655979.79213248,0.0,1.0
fips01087,3302203.966283,4100455.2646121597,7402659.23089516,0.44608347666486925,0.5539165233351308
fips01089,6908376.4985,1916643.39564024,8825019.89414024,0.7828171019860386,0.2171828980139614
fips01091,234884.800949,0.0,234884.800949,1.0,0.0
fips01093,151984.282967,0.0,151984.282967,1.0,0.0
fips01095,1077706.733766,34848.0617389135,1112554.7955049134,0.9686774423338869,0.03132255766611326
fips01097,11951491.342405,406560.72028732405,12358052.062692326,0.9671015530421101,0.03289844695788979
fips01099,566486.872877,0.0,566486.872877,1.0,0.0
fips01101,5885936.776722,708577.2553579081,6594514.032079908,0.8925504969872021,0.10744950301279789
fips01103,221068.047952,116160.205796378,337228.253748378,0.6555442656265371,0.3444557343734628
fips01105,732287.908841,0.0,732287.908841,1.0,0.0
fips01107,0.0,1963107.4779588,1963107.4779588,0.0,1.0
fips01109,566486.872877,859585.5228932,1426072.3957702,0.39723570455274754,0.6027642954472525
fips01111,41450.258990999995,11616.0205796378,53066.279570637795,0.781103543085672,0.218896456914328
fips01113,0.0,8468079.00255599,8468079.00255599,0.0,1.0
fips01115,469769.601898,1417154.51071582,1886924.11261382,0.24896051661943205,0.7510394833805679
fips01117,0.0,4611560.170116221,4611560.170116221,0.0,1.0
fips01119,690837.64985,0.0,690837.64985,1.0,0.0
fips01121,842821.932817,3879750.87359904,4722572.80641604,0.17846668910470803,0.8215333108952919
fips01123,27633.505994,487872.86434478895,515506.37033878895,0.05360458683728653,0.9463954131627135
fips01125,1823811.395604,3902982.91475831,5726794.31036231,0.31846986232837393,0.6815301376716261
fips01127,69083.764985,0.0,69083.764985,1.0,0.0
fips01129,96717.270979,0.0,96717.270979,1.0,0.0
fips01131,82900.51798199999,336864.596809497,419765.114791497,0.19749263352476967,0.8025073664752302
fips01133,0.0,23232.041159275697,23232.041159275697,0.0,1.0
fips04001,165801.03596399998,2125731.76607372,2291532.80203772,0.07235376941432531,0.9276462305856746
fips04003,298635299.27715796,0.0,298635299.27715796,1.0,0.0
fips04005,165801.03596399998,0.0,165801.03596399998,1.0,0.0
fips04007,1519842.82967,557568.987822616,2077411.817492616,0.7316040165326546,0.26839598346734533
fips04009,146968801.62908903,89199422.031039,236168223.66012803,0.6223055724913833,0.3776944275086167
fips04011,8262418.292206,3833286.79128049,12095705.08348649,0.683086949886548,0.316913050113452
fips04012,107411437.798678,621248012.6401911,728659450.4388691,0.14740965444692228,0.8525903455530777
