node,ground (m3),surface (m3),total (m3),gw_percentages,sw_percentages
fips01003,65173623.88684899,7875661.95299446,73049285.83984345,0.8921870095997733,0.1078129904002267
fips01083,3412737.990259,7794349.80893699,11207087.79919599,0.3045160394392407,0.6954839605607592
fips01097,11951491.342405,406560.7202873241,12358052.062692326,0.96710155304211,0.0328984469578897
fips04003,298635299.277158,0.0,298635299.277158,1.0,0.0
fips04009,146968801.62908903,89199422.031039,236168223.66012803,0.6223055724913833,0.3776944275086167
fips04012,107411437.798678,621248012.6401911,728659450.4388691,0.1474096544469222,0.8525903455530777
fips04013,1250305612.20452,283605142.45185804,1533910754.656378,0.8151097502961374,0.1848902497038625
fips04015,66955985.023462005,70520860.9389813,137476845.9624433,0.4870346315753667,0.5129653684246334
fips04019,70727958.591643,37206113.91658,107934072.508223,0.6552885196308568,0.3447114803691433
fips04021,487869548.32407,664238904.805431,1152108453.1295009,0.4234580060573792,0.5765419939426208
fips04025,12117292.378369,21663878.3810246,33781170.7593936,0.3586995982073688,0.6413004017926311
fips04027,148267576.410807,1124268167.82083,1272535744.231637,0.1165134866214164,0.8834865133785835
fips05001,1227136294.52615,886495308.030364,2113631602.556514,0.5805819202560579,0.4194180797439421
fips05003,193976098.899636,19801185.778863706,213777284.6784997,0.9073746969485428,0.0926253030514573
fips05017,260494632.04271305,92008517.3784793,352503149.4211923,0.7389852614662972,0.2610147385337029
fips05021,1110701644.45001,15941729.6727462,1126643374.1227562,0.985850243263394,0.0141497567366061
fips05031,565393923.1782789,92374993.9226804,657768917.1009593,0.8595631512510312,0.1404368487489687
fips05035,346908847.562055,1385739.43276027,348294586.9948153,0.9960213581132086,0.0039786418867913
fips05037,745013014.617615,52658098.4448902,797671113.0625052,0.9339852006891416,0.0660147993108582
fips05041,638567031.343239,182379342.70006,820946374.043299,0.7778425626002694,0.2221574373997306
fips05043,56257695.5837727,10101009.7495418,66358705.33331449,0.8477816934672666,0.1522183065327334
fips05055,471236449.60689,11532558.7503272,482769008.3572172,0.9761116423161242,0.0238883576838757
fips05063,91013901.3217881,32536245.6898506,123550147.0116387,0.7366555485621105,0.2633444514378895
fips05067,763466191.9789109,39132823.48546971,802599015.4643806,0.9512423729266256,0.0487576270733743
fips05069,396130929.063387,78849718.9632599,474980648.02664685,0.8339938283994334,0.1660061716005667
fips05073,18507611.5128038,0.0,18507611.5128038,1.0,0.0
fips05075,313826491.982918,28653884.7997206,342480376.7826386,0.9163342289304176,0.0836657710695825
fips05077,444345978.761816,8909960.98088834,453255939.74270433,0.980342318324728,0.0196576816752719
fips05079,318521437.550504,35513867.6114842,354035305.16198814,0.8996883443722233,0.1003116556277767
fips05081,13554103.7255534,26832954.4707216,40387058.196275,0.3356051252775705,0.6643948747224295
fips05085,795432647.452128,363384398.359366,1158817045.811494,0.6864178002275623,0.3135821997724377
fips05093,47575448.4182074,332119.368182213,47907567.78638961,0.9930674967749756,0.0069325032250242
fips05095,383121166.852916,33738746.8505103,416859913.7034263,0.9190645448472802,0.0809354551527197
fips05107,345969858.448537,6825625.635744791,352795484.0842818,0.9806527409117454,0.0193472590882545
fips05111,1178308860.6232598,115749326.007504,1294058186.6307638,0.910553229210758,0.0894467707892419
fips05117,456933876.298098,235071798.320969,692005674.619067,0.6603036550959347,0.3396963449040653
fips05119,46364288.5471489,20568496.0432846,66932784.59043349,0.6926992329820925,0.3073007670179076
fips05121,176979035.09118602,63091227.5626142,240070262.65380025,0.7371968236915848,0.2628031763084152
fips05123,465262301.47886,25309786.3338859,490572087.8127459,0.9484076102928488,0.051592389707151
fips05145,95341416.3666937,81495221.51671131,176836637.88340503,0.5391496779618478,0.4608503220381522
fips05147,654094373.060967,36063582.4277858,690157955.4887527,0.9477459005710565,0.0522540994289437
fips06001,7433413.112385999,2625220.65099815,10058633.763384148,0.7390082278813466,0.2609917721186535
fips06005,19923757.821674,7016076.43010126,26939834.25177526,0.7395649741371768,0.2604350258628232
fips06007,989873634.964071,41550505.6133646,1031424140.5774356,0.9597154032189872,0.0402845967810127
fips06009,7958449.726272,2811076.98027236,10769526.70654436,0.7389785961007792,0.2610214038992207
fips06011,878869841.386173,68639065.60508,947508906.991253,0.9275583953896132,0.0724416046103866
fips06013,16801171.644352,84494933.6962856,101296105.3406376,0.1658619705846851,0.8341380294153149
fips06015,15916899.452544,5610537.9399650805,21527437.39250908,0.739377342613135,0.260622657386865
fips06017,24966872.665579,8793327.57878585,33760200.24436485,0.7395356806198563,0.2604643193801436
fips06019,1185394506.6246202,879355989.9197439,2064750496.544364,0.5741102901336197,0.4258897098663803
fips06021,868894145.722339,36880865.3403501,905775011.0626892,0.9592825316553169,0.0407174683446831
fips06023,58002729.081406005,20444196.2201626,78446925.3015686,0.739388176890678,0.2606118231093221
fips06025,1800958486.14696,634722596.512571,2435681082.659531,0.7394065253323253,0.2605934746676747
fips06027,16718271.126370002,5889322.433876391,22607593.560246397,0.7394980399757237,0.2605019600242762
fips06029,2050364694.4958096,152123405.510937,2202488100.006747,0.9309311112689004,0.0690688887310996
fips06031,835001650.620698,38088931.4806325,873090582.1013305,0.956374593585741,0.0436254064142589
fips06033,51121986.0889,18016447.919018306,69138434.0079183,0.7394148684803172,0.2605851315196828
fips06035,86202721.948283,30375893.815753,116578615.764036,0.7394385443962028,0.2605614556037972
fips06037,17160407.222274,6051946.72199132,23212353.94426532,0.7392790607741672,0.2607209392258328
fips06039,1044049123.46531,18515936.8039427,1062565060.2692528,0.9825743029803268,0.0174256970196731
fips06041,39433013.053438,13892760.6132469,53325773.666684896,0.7394738105426428,0.2605261894573572
fips06043,16953155.927319,5970634.57793385,22923790.505252853,0.7395441832987562,0.2604558167012438
fips06045,66748733.728507,23522441.6737666,90271175.4022736,0.7394246660803515,0.2605753339196484
fips06047,913439357.3846668,359225436.4253,1272664793.809967,0.7177375863836937,0.2822624136163062
fips06049,166630041.14382,58730600.050648905,225360641.1944689,0.739392825032083,0.2606071749679169
fips06051,56800671.570667,20014403.458716,76815075.029383,0.7394469321150806,0.2605530678849193
fips06053,162457381.73872602,57255365.4370349,219712747.17576087,0.739408085452443,0.260591914547557
fips06055,99245736.777451,34975837.965289496,134221574.74274048,0.7394171687202531,0.260582831279747
fips06057,45954520.468022,16192732.6880151,62147253.15603711,0.7394457218027164,0.2605542781972835
fips06061,118699724.997227,51517051.2706938,170216776.2679208,0.6973444545230602,0.3026555454769399
fips06063,99010851.976502,34894525.821232095,133905377.7977341,0.7394090782975068,0.2605909217024932
fips06065,693614817.202397,244459153.098478,938073970.300875,0.7394031165579928,0.2605968834420071
fips06067,387159235.728937,186042185.60348,573201421.332417,0.6754331397660851,0.3245668602339149
fips06069,14466140.387859,5099433.03446101,19565573.42232001,0.7393670543464022,0.2606329456535979
fips06071,27080835.87412,9548368.9164623,36629204.7905823,0.7393236088238183,0.2606763911761817
