node,capacity_factor_mean
fips01003,0.187482926
fips01083,0.182459317
fips01097,0.184468928
fips04003,0.234447992
fips04012,0.233367534
fips04013,0.232785518
fips04015,0.239547607
fips04019,0.237200231
fips04021,0.232933759
fips04025,0.234265549
fips04027,0.232781655
fips05001,0.180648187
fips05003,0.176303235
fips05017,0.181156687
fips05021,0.177993731
fips05031,0.179388324
fips05035,0.17929496
fips05037,0.178276822
fips05041,0.182357358
fips05043,0.17571324
fips05055,0.17632806
fips05063,0.175757965
fips05067,0.178958138
fips05069,0.179275081
fips05073,0.176019363
fips05075,0.175964918
fips05077,0.181876864
fips05079,0.178944365
fips05081,0.179486064
fips05085,0.181619955
fips05093,0.177531554
fips05095,0.180044988
fips05107,0.181763993
fips05111,0.178310154
fips05117,0.181862393
fips05119,0.177156513
fips05121,0.173690053
fips05123,0.179521976
fips05145,0.17907919
fips05147,0.178439669
fips06001,0.209275415
fips06005,0.208927543
fips06007,0.19976208
fips06009,0.211865384
fips06011,0.207266214
fips06013,0.219696588
fips06017,0.212727059
fips06019,0.214508676
fips06021,0.207285905
fips06023,0.189661196
fips06027,0.238159711
fips06029,0.220000975
fips06031,0.217034558
fips06033,0.207307083
fips06035,0.217475462
fips06037,0.216045319
fips06039,0.212028278
fips06041,0.212638693
fips06043,0.214861816
fips06045,0.205203528
fips06047,0.21660886
fips06051,0.209687612
fips06053,0.218154672
fips06055,0.209077854
fips06057,0.209625889
fips06061,0.200445459
fips06063,0.210835256
fips06065,0.229272494
fips06067,0.214277157
fips06069,0.219061994
fips06071,0.233721125
fips06073,0.219674837
fips06077,0.215496331
fips06079,0.227267391
fips06081,0.212665099
fips06083,0.236468678
fips06087,0.208630596
fips06089,0.190797724
fips06091,0.214510986
fips06095,0.21600464
fips06097,0.209073441
fips06099,0.21430113
fips06101,0.209465372
fips06103,0.204531066
fips06107,0.212825635
fips06111,0.213899268
fips06113,0.215780756
fips06115,0.200946927
fips08001,0.209399927
fips08003,0.237728244
fips08009,0.218516535
fips08011,0.218926552
fips08013,0.200164727
fips08015,0.234173623
fips08021,0.236084963
fips08023,0.233975825
fips08025,0.219029328
fips08027,0.233765762
fips08037,0.21636749
fips08039,0.213504325
fips08043,0.224471502
fips08045,0.212776727
fips08049,0.22138738
fips08053,0.237673417
fips08059,0.203735986
fips08065,0.23795808
fips08069,0.194321404
fips08071,0.216106647
fips08077,0.215638716
fips08081,0.22203439
