node,sprinkler_percentage,drip_percentage,surface_percentage,well_pressure [bar],gw_percentages,sw_percentages,operating_pressure,pressure_head,conversion_factor_el,conversion_factor_diesel,unit_conversion_factor
fips01003,1.0,0.0,0.0,7.437284543379055,0.8921870095997733,0.1078129904002267,3.0,101.95728527114468,0.3473,0.926,kWh/m3
fips01083,1.0,0.0,0.0,7.437284543379055,0.3045160394392407,0.6954839605607592,3.0,39.43242152548617,0.1343,0.3582,kWh/m3
fips01097,1.0,0.0,0.0,7.437284543379055,0.96710155304211,0.0328984469578897,3.0,109.9277685162517,0.3744,0.9984,kWh/m3
fips04003,0.911,0.04,0.049,13.411401621373756,1.0,0.0,2.7930900000000003,172.2170399732289,0.5866,1.5642,kWh/m3
fips04009,0.46,0.023,0.517,7.445588632188283,0.6223055724913833,0.3776944275086167,1.61497,64.51005225989474,0.2197,0.5859,kWh/m3
fips04012,0.047,0.149,0.804,9.502658681025643,0.1474096544469222,0.8525903455530777,0.61964,22.24387921282901,0.0758,0.202,kWh/m3
fips04013,0.01,0.09,0.901,11.29326327870968,0.8151097502961374,0.1848902497038625,0.48941,104.93549310937836,0.3574,0.9531,kWh/m3
fips04015,0.226,0.1,0.674,9.817108266545455,0.4870346315753667,0.5129653684246334,1.05434,61.00684812627548,0.2078,0.5541,kWh/m3
fips04019,0.018,0.0,0.982,7.918119437142858,0.6552885196308568,0.3447114803691433,0.45661999999999997,62.975235556162055,0.2145,0.572,kWh/m3
fips04021,0.055,0.056,0.889,19.50530873733956,0.4234580060573792,0.5765419939426208,0.58549,93.75748800625813,0.3193,0.8516,kWh/m3
fips04025,0.159,0.009,0.831,6.512431161546345,0.3586995982073688,0.6413004017926311,0.82671,33.868980487602805,0.1154,0.3076,kWh/m3
fips04027,0.326,0.007,0.668,7.464199389942857,0.1165134866214164,0.8834865133785835,1.25888,17.394050905174925,0.0592,0.158,kWh/m3
fips05001,0.0,0.0,1.0,7.437284543379055,0.5805819202560579,0.4194180797439421,0.41,53.47595850143419,0.1821,0.4857,kWh/m3
fips05003,0.0,0.0,1.0,7.437284543379055,0.9073746969485428,0.0926253030514573,0.41,79.61699729273754,0.2712,0.7231,kWh/m3
fips05017,0.126,0.0,0.874,7.437284543379055,0.7389852614662972,0.2610147385337029,0.73634,68.60538297977894,0.2337,0.6231,kWh/m3
fips05021,0.022,0.0,0.978,7.437284543379055,0.985850243263394,0.0141497567366061,0.46697999999999995,86.46708586043283,0.2945,0.7854,kWh/m3
fips05031,0.007,0.0,0.993,7.437284543379055,0.8595631512510312,0.1404368487489687,0.42813,75.95127941694793,0.2587,0.6898,kWh/m3
fips05035,0.378,0.0,0.622,7.437284543379055,0.9960213581132086,0.0039786418867913,1.38902,96.64819407153097,0.3292,0.8778,kWh/m3
fips05037,0.079,0.0,0.921,7.437284543379055,0.9339852006891416,0.0660147993108582,0.61461,83.6936833947573,0.2851,0.7602,kWh/m3
fips05041,0.018,0.0,0.982,7.437284543379055,0.7778425626002694,0.2221574373997306,0.45661999999999997,69.62502486181319,0.2371,0.6324,kWh/m3
fips05043,0.009,0.0,0.991,7.437284543379055,0.8477816934672666,0.1522183065327334,0.43331,75.05143700897169,0.2556,0.6817,kWh/m3
fips05055,0.042,0.0,0.958,7.437284543379055,0.9761116423161242,0.0238883576838757,0.51878,86.19783106840788,0.2936,0.7829,kWh/m3
fips05063,0.154,0.0,0.846,7.437284543379055,0.7366555485621105,0.2633444514378895,0.8088599999999999,68.9558423254368,0.2349,0.6263,kWh/m3
fips05067,0.023,0.0,0.977,7.437284543379055,0.9512423729266256,0.0487576270733743,0.46957,83.70372149061735,0.2851,0.7603,kWh/m3
fips05069,0.047,0.0,0.953,7.437284543379055,0.8339938283994334,0.1660061716005667,0.53173,74.78194645875087,0.2547,0.6792,kWh/m3
fips05073,0.311,0.0,0.689,7.437284543379055,1.0,0.0,1.21549,95.23725324545417,0.3244,0.865,kWh/m3
fips05075,0.004,0.0,0.996,7.437284543379055,0.9163342289304176,0.0836657710695825,0.42036,80.43046538090263,0.2739,0.7305,kWh/m3
fips05077,0.142,0.0,0.858,7.437284543379055,0.980342318324728,0.0196576816752719,0.7777799999999999,89.12920917067783,0.3036,0.8095,kWh/m3
fips05079,0.0,0.0,1.0,7.437284543379055,0.8996883443722233,0.1003116556277767,0.41,79.00214514424505,0.2691,0.7175,kWh/m3
fips05081,0.0,0.0,1.0,7.437284543379055,0.3356051252775705,0.6643948747224295,0.41,33.87960155218624,0.1154,0.3077,kWh/m3
fips05085,0.001,0.0,0.999,7.437284543379055,0.6864178002275623,0.3135821997724377,0.41258999999999996,61.96017957317625,0.211,0.5628,kWh/m3
fips05093,0.535,0.0,0.465,7.437284543379055,0.9930674967749756,0.0069325032250242,1.79565,100.4987481639209,0.3423,0.9128,kWh/m3
fips05095,0.001,0.0,0.999,7.437284543379055,0.9190645448472802,0.0809354551527197,0.41258999999999996,80.5763646719564,0.2744,0.7318,kWh/m3
fips05107,0.354,0.0,0.646,7.437284543379055,0.9806527409117454,0.0193472590882545,1.32686,94.64406083803655,0.3224,0.8596,kWh/m3
fips05111,0.056,0.0,0.944,7.437284543379055,0.910553229210758,0.0894467707892419,0.55504,81.21750175203051,0.2766,0.7377,kWh/m3
fips05117,0.005,0.0,0.995,7.437284543379055,0.6603036550959347,0.3396963449040653,0.42295,59.940281334398726,0.2042,0.5444,kWh/m3
fips05119,0.213,0.0,0.787,7.437284543379055,0.6926992329820925,0.3073007670179076,0.96167,66.33995280377299,0.226,0.6025,kWh/m3
fips05121,0.0,0.0,1.0,7.437284543379055,0.7371968236915848,0.2628031763084152,0.41,66.00400856251892,0.2248,0.5995,kWh/m3
fips05123,0.228,0.0,0.772,7.437284543379055,0.9484076102928488,0.051592389707151,1.00052,88.60833886956443,0.3018,0.8048,kWh/m3
