node,STUSPS,well_depth (m),NaN values,well_pressure [bar]
fips01001,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01003,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01005,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01007,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01009,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01011,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01013,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01015,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01017,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01019,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01021,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01023,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01025,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01027,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01029,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01031,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01033,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01035,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01037,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01039,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01041,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01043,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01045,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01047,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01049,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01051,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01053,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01055,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01057,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01059,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01061,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01063,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01065,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01067,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01069,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01071,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01073,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01075,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01077,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01079,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01081,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01083,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01085,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01087,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01089,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01091,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01093,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01095,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01097,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01099,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01101,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01103,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01105,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01107,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01109,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01111,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01113,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01115,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01117,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01119,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01121,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01123,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01125,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01127,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01129,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01131,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01133,AL,75.81329809764581,Filled with US average,7.437284543379055
fips02013,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02016,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02020,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02050,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02060,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02063,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02066,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02068,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02070,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02090,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02100,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02105,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02110,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02122,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02130,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02150,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02158,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02164,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02170,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02180,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02185,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02188,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02195,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02198,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02220,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02230,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02240,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02275,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02282,AK,75.81329809764581,Filled with US average,7.437284543379055
fips02290,AK,75.81329809764581,Filled with US average,7.437284543379055
fips04001,AZ,47.42004200477327,,4.651906120668258
fips04003,AZ,136.71153538607294,,13.411401621373756
fips04005,AZ,66.23549404900817,,6.497701966207702
fips04007,AZ,58.829211067193675,,5.7711456056917
fips04009,AZ,75.89794732098147,,7.445588632188283
fips04011,AZ,81.79565907692309,,8.024154155446155
fips04012,AZ,96.86706096866098,,9.502658681025643
fips04013,AZ,115.11991109795798,,11.293263278709679
fips04015,AZ,100.0724593939394,,9.817108266545455
fips04017,AZ,62.68454031413613,,6.149353404816755
fips04019,AZ,80.7147750982962,,7.918119437142858
fips04021,AZ,198.83087397899652,,19.50530873733956
fips04023,AZ,64.98610158730159,,6.375136565714287
fips04025,AZ,66.38563875174663,,6.512431161546345
fips04027,AZ,76.08765942857143,,7.464199389942857
fips05001,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05003,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05005,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05007,AR,75.81329809764581,Filled with US average,7.437284543379055
