node,STUSPS,well_depth (m),NaN values,well_pressure [bar]
fips01003,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01083,AL,75.81329809764581,Filled with US average,7.437284543379055
fips01097,AL,75.81329809764581,Filled with US average,7.437284543379055
fips04003,AZ,136.71153538607294,,13.411401621373756
fips04009,AZ,75.89794732098147,,7.445588632188283
fips04012,AZ,96.86706096866098,,9.502658681025643
fips04013,AZ,115.11991109795798,,11.29326327870968
fips04015,AZ,100.0724593939394,,9.817108266545455
fips04019,AZ,80.7147750982962,,7.918119437142858
fips04021,AZ,198.8308739789965,,19.50530873733956
fips04025,AZ,66.38563875174663,,6.512431161546345
fips04027,AZ,76.08765942857143,,7.464199389942857
fips05001,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05003,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05017,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05021,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05031,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05035,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05037,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05041,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05043,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05055,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05063,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05067,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05069,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05073,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05075,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05077,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05079,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05081,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05085,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05093,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05095,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05107,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05111,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05117,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05119,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05121,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05123,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05145,AR,75.81329809764581,Filled with US average,7.437284543379055
fips05147,AR,75.81329809764581,Filled with US average,7.437284543379055
fips06001,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06005,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06007,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06009,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06011,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06013,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06015,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06017,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06019,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06021,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06023,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06025,CA,42.629958620689656,,4.181998940689655
fips06027,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06029,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06031,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06033,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06035,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06037,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06039,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06041,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06043,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06045,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06047,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06049,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06051,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06053,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06055,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06057,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06061,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06063,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06065,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06067,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06069,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06071,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06073,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06077,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06079,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06081,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06083,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06087,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06089,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06091,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06093,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06095,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06097,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06099,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06101,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06103,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06105,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06107,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06111,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06113,CA,42.629958620689656,Filled with state average,4.181998940689655
fips06115,CA,42.629958620689656,Filled with state average,4.181998940689655
fips08001,CO,0.0,Filled with state average,0.0
fips08003,CO,0.0,Filled with state average,0.0
fips08007,CO,0.0,,0.0
fips08009,CO,0.0,Filled with state average,0.0
fips08011,CO,0.0,Filled with state average,0.0
fips08013,CO,0.0,Filled with state average,0.0
fips08015,CO,0.0,Filled with state average,0.0
fips08017,CO,0.0,Filled with state average,0.0
fips08021,CO,0.0,Filled with state average,0.0
fips08023,CO,0.0,Filled with state average,0.0
fips08025,CO,0.0,Filled with state average,0.0
fips08027,CO,0.0,Filled with state average,0.0
fips08029,CO,0.0,Filled with state average,0.0
fips08037,CO,0.0,Filled with state average,0.0
fips08039,CO,0.0,Filled with state average,0.0
fips08043,CO,0.0,Filled with state average,0.0
fips08045,CO,0.0,Filled with state average,0.0
fips08049,CO,0.0,Filled with state average,0.0
fips08051,CO,0.0,Filled with state average,0.0
fips08053,CO,0.0,Filled with state average,0.0
fips08055,CO,0.0,Filled with state average,0.0
fips08057,CO,0.0,Filled with state average,0.0
fips08059,CO,0.0,Filled with state average,0.0
fips08063,CO,0.0,Filled with state average,0.0
fips08065,CO,0.0,Filled with state average,0.0
fips08067,CO,0.0,Filled with state average,0.0
fips08069,CO,0.0,Filled with state average,0.0
fips08071,CO,0.0,Filled with state average,0.0
fips08075,CO,0.0,Filled with state average,0.0
fips08077,CO,0.0,Filled with state average,0.0
fips08081,CO,0.0,Filled with state average,0.0
fips08083,CO,0.0,Filled with state average,0.0
fips08085,CO,0.0,Filled with state average,0.0
fips08087,CO,0.0,Filled with state average,0.0
fips08089,CO,0.0,Filled with state average,0.0
fips08091,CO,0.0,Filled with state average,0.0
fips08093,CO,0.0,Filled with state average,0.0
fips08095,CO,0.0,Filled with state average,0.0
fips08097,CO,0.0,Filled with state average,0.0
fips08099,CO,0.0,Filled with state average,0.0
fips08101,CO,0.0,Filled with state average,0.0
fips08103,CO,0.0,Filled with state average,0.0
fips08105,CO,0.0,Filled with state average,0.0
fips08107,CO,0.0,Filled with state average,0.0
fips08109,CO,0.0,Filled with state average,0.0
fips08113,CO,0.0,Filled with state average,0.0
fips08115,CO,0.0,Filled with state average,0.0
fips08117,CO,0.0,Filled with state average,0.0
fips08121,CO,0.0,Filled with state average,0.0
fips08123,CO,0.0,Filled with state average,0.0
fips08125,CO,0.0,Filled with state average,0.0
fips10001,DE,75.81329809764581,Filled with US average,7.437284543379055
fips10005,DE,75.81329809764581,Filled with US average,7.437284543379055
fips12001,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12009,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12011,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12015,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12021,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12027,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12035,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12041,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12043,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12047,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12049,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12051,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12055,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12057,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12061,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12063,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12069,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12071,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12075,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12079,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12081,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12083,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12085,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12086,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12093,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12095,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12097,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12099,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12101,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12105,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12107,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12109,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12111,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12121,FL,75.81329809764581,Filled with US average,7.437284543379055
fips12127,FL,75.81329809764581,Filled with US average,7.437284543379055
fips13007,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13027,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13033,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13037,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13069,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13071,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13081,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13087,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13093,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13095,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13099,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13155,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13163,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13177,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13193,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13201,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13205,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13235,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13243,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13251,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13253,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13261,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13273,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13277,GA,75.81329809764581,Filled with US average,7.437284543379055
fips13287,GA,75.81329809764581,Filled with US average,7.437284543379055
